Success,Time,Generations,Distance,Angle
True,1.754224,1,7.310747E-06,0
True,1.837235,3,2.129623E-05,0
False,3.574545,10,0.000281267,0
True,1.685602,4,1.379252E-05,0
True,2.149508,1,9.34178E-06,0
True,3.306481,1,6.668266E-06,0
False,1.187035,10,0.003942692,0
True,2.793999,1,1.84023E-05,0
True,2.265351,5,1.321289E-05,0
True,1.637265,10,8.60792E-06,0
True,1.740139,2,1.039311E-05,0
True,1.850595,2,1.515509E-05,0
True,2.662514,5,4.029182E-05,0
False,3.073055,10,0.0008744836,0
True,2.063355,2,1.239089E-05,0
False,3.496387,10,0.000198229,0
True,2.634762,1,1.469131E-05,0
False,0.9667323,10,9.414852E-05,0
True,1.9914,3,9.550331E-06,0
True,2.529474,2,2.388146E-05,0
True,3.714848,2,9.010559E-06,0
True,1.364928,2,8.766595E-06,0
True,2.514168,10,2.479897E-05,0
False,1.68075,10,7.790927E-05,0
True,2.529995,1,2.829884E-05,0
True,3.111083,1,9.696523E-06,0
True,3.540368,2,7.296729E-05,0
False,4.356337,10,8.727008E-05,0
True,2.168466,1,2.69146E-05,0
False,2.898464,10,0.0001286703,0
False,2.434585,10,0.0006586937,0
False,1.077694,10,0.0001498136,0
True,3.847104,3,2.116991E-05,0
True,2.980662,1,1.270352E-05,0
True,3.505548,1,1.309689E-05,0
True,2.681652,2,7.362561E-06,0
False,3.460843,10,0.002828453,0
False,1.935535,10,0.0006076941,0
True,2.78878,1,1.212541E-05,0
False,2.639475,10,0.0005780357,0
False,2.059962,10,0.000284481,0
False,4.321457,10,0.6951056,0.01928502
True,4.133729,1,1.118171E-05,0
True,2.517071,1,7.315848E-06,0
True,3.5153,5,2.317142E-05,0
False,3.48075,10,0.0001984848,0
True,2.50726,10,7.568206E-06,0
True,3.308921,2,2.405683E-05,0
True,3.148664,4,9.147905E-06,0
True,1.792504,1,9.083599E-06,0
True,4.000405,2,3.730056E-06,0
False,1.363716,10,0.007486087,0
True,1.571642,2,1.377996E-05,0
True,2.728284,4,2.025267E-05,0
True,2.129251,1,3.187617E-05,0
True,2.548523,4,1.329651E-05,0
True,2.338835,2,5.363371E-05,0
False,1.929841,10,0.01065776,0
True,0.9678181,1,2.17521E-05,0
True,2.833154,2,2.994129E-05,0
True,5.101109,1,7.840574E-06,0
True,2.131507,1,7.911955E-06,0
True,1.147391,1,8.90566E-06,0
True,3.47536,1,1.410251E-05,0
True,3.381205,1,1.990197E-05,0
True,2.85481,4,9.911591E-06,0
False,2.865352,10,0.02657802,0.003803962
True,3.202729,1,1.158249E-05,0
False,2.885733,10,0.009956609,0
True,2.577243,1,1.175119E-05,0
True,0.9825593,1,7.673505E-06,0
True,1.047881,2,1.377386E-05,0
True,1.748379,1,4.735115E-05,0
False,2.50795,10,0.002559685,0
True,1.19089,4,9.495677E-06,0
False,4.203103,10,0.0005830782,0
False,2.261028,10,0.00091041,0
False,3.042257,10,0.0001173984,0
False,3.763884,10,0.002679217,0
False,3.231999,10,0.001232646,0
True,1.325549,10,1.009837E-05,0
True,1.235005,5,2.137307E-05,0
True,2.796439,2,3.973891E-06,0
True,1.78015,1,7.487444E-06,0
True,2.084791,1,4.107967E-06,0
True,2.117748,2,5.535739E-05,0
True,3.153713,3,2.156601E-05,0
False,4.627661,10,0.001452889,0
True,1.365103,1,5.861877E-05,0
False,2.895392,10,0.0009705799,0
True,2.091116,8,2.608521E-05,0
False,1.726275,10,0.0001520327,0
True,4.274248,1,1.300857E-05,0
False,2.544937,10,0.001915475,0
True,2.077707,1,1.048296E-05,0
True,1.850074,4,1.275094E-05,0
True,2.311741,5,3.768899E-05,0
True,2.445626,2,6.770131E-06,0
True,3.009154,5,2.695191E-05,0
True,3.436933,8,4.314365E-05,0
True,2.317579,5,7.516805E-06,0
True,2.616194,1,1.468423E-05,0
False,4.415634,10,0.0009108914,0
True,4.329978,1,6.625549E-05,0
False,3.354053,10,0.0003869935,0
True,3.40873,1,4.450261E-06,0
True,3.433128,2,2.70111E-05,0
True,2.952337,4,6.999169E-06,0
True,2.218292,3,1.23455E-05,0
True,2.021569,1,2.068341E-05,0
True,2.251639,5,9.363812E-06,0
False,2.851665,10,0.004685676,0
True,2.330965,2,8.654381E-06,0
False,3.301273,10,0.1901505,0.003137514
True,2.047975,3,7.105776E-06,0
False,2.533036,10,0.0003196489,0
False,3.955866,10,0.0002707604,0
True,2.515345,1,2.423301E-05,0
True,2.787393,4,9.621028E-06,0
True,2.410182,1,4.47218E-05,0
False,4.652496,10,0.0009218142,0
False,3.482459,10,0.0002688915,0
True,2.961331,2,4.836798E-06,0
False,2.27237,10,0.002837887,0
True,2.349209,3,1.338864E-05,0
False,2.471634,10,0.0002258542,0
True,2.080953,10,2.716429E-06,0
False,2.640584,10,0.001647984,0
True,1.553406,2,2.571966E-05,0
False,2.884014,10,0.001330151,0
False,1.649893,10,0.0007425433,0
False,1.888,10,0.001834103,0
True,2.980441,1,2.095923E-05,0
True,2.511303,8,8.633008E-06,0
True,1.561697,3,3.498442E-06,0
False,3.289489,10,0.0001222981,0
True,1.217529,4,7.260511E-05,0
True,1.917989,2,1.505073E-05,0
True,3.189352,2,1.498117E-05,0
True,1.038339,2,2.971957E-05,0
True,2.725278,2,2.744886E-05,0
True,1.692274,3,7.190899E-05,0
False,1.883247,10,0.002506064,0
True,3.955226,7,6.485207E-06,0
True,3.525728,1,8.670581E-06,0
True,2.499495,2,4.31887E-06,0
True,1.954284,4,7.418851E-05,0
True,1.572798,1,9.912308E-06,0
True,2.776949,9,1.135058E-05,0
True,2.520425,2,1.302003E-05,0
True,2.504484,4,6.115826E-05,0
True,1.987636,2,3.290802E-05,0
False,0.5653602,10,0.0007722488,0
True,2.449142,2,5.566474E-05,0
True,1.502604,1,1.667961E-05,0
True,2.905963,1,1.075992E-05,0
True,1.343673,4,6.868812E-05,0
True,3.692269,2,1.459279E-05,0
True,5.065463,1,6.518743E-06,0
True,2.061122,2,1.845329E-05,0
True,3.662344,2,3.593702E-05,0
True,2.291493,5,6.465937E-06,0
True,3.24159,1,3.076952E-05,0
True,1.74863,1,4.378407E-06,0
False,2.786458,10,0.0009367568,0
False,2.482066,10,0.0005363651,0
False,2.380779,10,0.0003080391,0
True,2.739245,2,4.319589E-06,0
False,2.542674,10,0.0003592867,0
True,2.534682,1,3.383975E-06,0
True,2.072195,1,1.95986E-05,0
False,3.450109,10,0.0002777843,0
True,1.548653,1,4.494242E-05,0
True,1.296099,5,2.336745E-05,0
True,2.394357,2,2.283286E-05,0
False,0.9291639,10,0.0006444629,0
False,3.277678,10,0.001410291,0
False,2.247486,10,0.0003987766,0
False,1.921584,10,0.0009537212,0
True,1.684489,3,2.736581E-05,0
True,2.660476,1,5.35547E-06,0
True,3.66559,2,9.535253E-06,0
True,4.122429,1,7.705385E-06,0
False,2.349508,10,0.0004881107,0
True,2.213633,1,2.312322E-06,0
False,3.273577,10,0.007056784,0
True,3.885588,2,1.067323E-05,0
True,1.583356,5,1.344891E-05,0
False,3.433506,10,8.274341E-05,0
False,4.860793,10,0.0005463074,0
False,2.741097,10,0.0007532986,0
True,3.331552,3,1.113771E-05,0
False,2.605724,10,0.001148514,0
False,1.792279,10,0.001463578,0
True,2.379409,2,1.462784E-05,0
True,2.146987,2,4.377579E-05,0
True,1.717994,1,1.336328E-05,0
True,1.887489,4,5.922102E-05,0
True,2.136231,1,2.698715E-05,0
True,3.49235,1,7.990802E-06,0
True,3.408025,10,7.258319E-06,0
False,3.175462,10,0.00087638,0
True,3.030732,5,6.131534E-06,0
True,1.844444,2,1.741353E-05,0
True,1.233374,4,5.364537E-05,0
True,1.92943,1,4.987595E-06,0
True,2.095709,2,1.363631E-05,0
False,2.709286,10,0.0007495199,0
True,2.524262,1,6.82831E-06,0
True,3.913307,1,6.592155E-05,0
False,1.836967,10,0.0005157828,0
True,1.932953,1,5.203045E-06,0
