Success,Time,Generations,Distance,Angle
True,2.244955,1,7.715061E-05,0
True,1.572474,15,6.811766E-05,0
True,1.934892,3,1.56469E-05,0
True,1.198164,11,3.949991E-05,0
True,1.826054,1,6.115869E-06,0
True,2.516704,5,2.876554E-05,0
True,1.427363,1,1.693761E-05,0
True,1.811499,4,1.318395E-05,0
True,1.684107,8,3.062937E-05,0
True,1.813452,3,5.154647E-05,0
True,2.675019,13,1.936349E-05,0
True,2.642726,1,7.314634E-06,0
True,3.45095,3,2.329345E-05,0
True,3.62343,3,9.978216E-06,0
True,3.816423,2,4.745967E-06,0
True,4.97737,1,3.059641E-06,0
True,4.089607,6,3.291407E-05,0
True,2.80883,8,8.296187E-06,0
True,3.971015,32,4.094106E-05,0
True,2.687391,1,7.102229E-06,0
True,1.938369,2,1.784171E-05,0
True,1.729605,3,3.701252E-06,0
True,2.216882,8,1.762245E-05,0
True,2.915107,38,3.633556E-05,0
True,1.177301,8,6.822591E-05,0
True,2.753437,3,5.413533E-06,0
True,1.256444,1,8.289333E-06,0
True,3.941365,1,1.451382E-05,0
True,2.059479,1,2.959117E-05,0
True,2.658297,1,9.02848E-06,0
True,1.068589,4,1.087389E-05,0
True,3.895834,12,3.168569E-05,0
True,1.922688,1,5.510106E-05,0
True,1.897424,17,2.398567E-05,0
True,2.910826,1,1.685506E-05,0
True,4.528711,2,3.902443E-05,0
True,2.509951,1,2.1746E-05,0
True,2.808104,20,1.83969E-05,0
True,2.120178,11,2.122597E-05,0
True,1.876237,2,5.520191E-06,0
True,1.646248,1,7.768065E-06,0
True,2.578945,7,7.624751E-06,0
True,1.245373,6,1.563597E-05,0
True,0.6800923,8,4.209915E-05,0
False,2.809235,50,0.001501561,0
True,1.383228,2,1.411561E-05,0
True,2.489769,5,6.271247E-06,0
True,2.594689,8,5.823821E-05,0
True,1.898782,30,1.040619E-05,0
True,2.357661,6,6.864634E-06,0
True,0.8999787,4,1.46608E-06,0
True,1.852454,1,9.430728E-06,0
True,4.044195,11,5.640124E-06,0
True,2.502356,6,4.009993E-05,0
True,2.109041,1,8.708097E-06,0
True,3.674502,3,3.263048E-05,0
True,1.200079,3,4.737936E-05,0
True,2.862596,12,7.703785E-06,0
True,2.117109,2,1.652415E-05,0
True,2.677557,12,6.72586E-05,0
True,3.795277,1,1.820275E-05,0
True,3.488238,4,8.674524E-06,0
True,1.703305,5,3.917798E-05,0
True,2.481771,2,8.77667E-06,0
True,2.686973,1,9.385035E-06,0
True,2.413346,8,1.754787E-05,0
True,2.985028,13,4.722798E-06,0
True,1.599162,1,5.687482E-06,0
True,2.388651,4,7.383161E-06,0
True,2.427692,42,1.426582E-05,0
True,2.311764,9,9.080714E-06,0
False,3.662885,50,9.655202E-05,0
True,3.762277,1,2.483447E-06,0
True,3.102828,4,4.645746E-05,0
True,3.936214,12,3.83685E-05,0
True,3.913012,2,2.517892E-05,0
True,1.927918,8,1.815062E-05,0
False,2.260165,50,0.0003574855,0
True,2.306873,1,1.51608E-05,0
True,3.409346,2,1.671153E-05,0
True,1.623711,1,2.219871E-05,0
False,3.420087,50,0.002155319,0
True,2.098481,2,2.467389E-05,0
True,2.297057,1,2.199823E-05,0
True,2.450372,1,9.489876E-06,0
True,1.846906,3,8.301926E-06,0
