Success,Time,Generations,Distance,Angle
True,2.244955,1,7.715061E-05,0
False,1.574424,1,0.002818134,0
False,1.931607,1,0.000887733,0
False,1.198412,1,0.001764841,0
True,1.826054,1,6.115869E-06,0
False,2.123143,1,0.001199735,0
True,1.427363,1,1.693761E-05,0
False,2.392492,1,0.1474022,0.002857459
False,2.385339,1,0.00481823,0
False,3.418869,1,0.02589138,0.006109294
False,3.481266,1,0.001341395,0
True,2.642726,1,7.314634E-06,0
False,3.451099,1,0.0003515913,0
False,5.287364,1,0.2696344,0.004247992
False,3.816407,1,0.0001239729,0
True,4.97737,1,3.059641E-06,0
False,4.089646,1,0.002060687,0
False,2.804917,1,0.001871297,0
False,3.971409,1,0.004677261,0
True,2.687391,1,7.102229E-06,0
False,2.49523,1,0.008639161,0.0008583615
False,2.56198,1,0.001561278,0
False,2.215408,1,0.02737613,0.004088615
False,2.915275,1,0.00269902,0
False,2.3031,1,0.001673673,0
False,2.753382,1,0.0002457581,0
True,1.256444,1,8.289333E-06,0
True,3.941365,1,1.451382E-05,0
True,2.059479,1,2.959117E-05,0
True,2.658297,1,9.02848E-06,0
False,1.830268,1,0.0008225176,0
False,3.895403,1,0.003030806,0
True,1.922688,1,5.510106E-05,0
False,1.919633,1,0.006535831,0
True,2.910826,1,1.685506E-05,0
False,4.528683,1,0.001729829,0
True,2.509951,1,2.1746E-05,0
False,2.808087,1,0.0009095389,0
False,2.123838,1,0.001403859,0
False,1.875565,1,0.001394314,0
True,1.646248,1,7.768065E-06,0
False,1.522047,1,0.01601673,0.001203916
False,3.642657,1,0.24151,0.004383729
False,1.774752,1,0.001502975,0
False,2.33551,1,0.2184142,0.006446959
False,1.383548,1,0.0001641985,0
False,3.496622,1,0.0007142233,0
False,2.899264,1,0.0009654382,0
False,3.699863,1,0.0008762132,0
False,2.357543,1,0.0002340579,0
False,0.8995894,1,0.0002381046,0
True,1.852454,1,9.430728E-06,0
False,2.064197,1,0.000686414,0
False,4.305087,1,0.003324362,0
True,2.109041,1,8.708097E-06,0
False,3.167846,1,0.0002915385,0
False,1.273342,1,0.0006899454,0
False,2.862221,1,0.0001312237,0
False,2.108641,1,0.001215988,0
False,3.605233,1,0.004013523,0.0005918399
True,3.795277,1,1.820275E-05,0
False,3.489793,1,0.001112333,0
False,3.206592,1,0.0009192883,0
False,2.481786,1,0.0002293759,0
True,2.686973,1,9.385035E-06,0
False,2.626016,1,0.0006850695,0
False,2.985706,1,0.0006431087,0
True,1.599162,1,5.687482E-06,0
False,2.388123,1,0.0006324596,0
False,2.548517,1,0.0008901316,0
False,2.31179,1,0.0002318384,0
False,3.662885,1,9.655202E-05,0
True,3.762277,1,2.483447E-06,0
False,3.113333,1,0.009906883,0.001713203
False,3.936175,1,0.0003967076,0
False,3.912342,1,0.001354237,0
False,3.593214,1,0.0006445997,0
False,2.065616,1,0.03232529,0.001059856
True,2.306873,1,1.51608E-05,0
False,3.409386,1,0.0003248822,0
True,1.623711,1,2.219871E-05,0
False,3.420087,1,0.002154392,0
False,0.6072432,1,0.003652852,0.001188771
True,2.297057,1,2.199823E-05,0
True,2.450372,1,9.489876E-06,0
False,1.847239,1,0.001129175,0
True,2.201616,1,7.103213E-06,0
False,2.964731,1,0.001901478,0
False,2.668421,1,0.006015868,0
False,1.820186,1,0.01962784,0.003576477
False,3.68946,1,0.0001402481,0
False,2.781387,1,0.0009956198,0
True,2.898392,1,5.092623E-06,0
False,3.190638,1,0.005536206,0.0009195055
True,3.338711,1,4.875937E-06,0
False,2.572324,1,0.2157187,0.006345928
True,2.359616,1,4.398241E-06,0
False,3.220946,1,0.0001333224,0
True,2.425378,1,8.953416E-06,0
False,1.951228,1,0.007465552,0
False,2.543244,1,0.00149898,0
True,1.212366,1,1.607249E-05,0
False,4.007623,1,0.002598316,0
False,4.270464,1,0.001630508,0
True,2.151355,1,7.168001E-06,0
False,2.577748,1,0.0005945524,0
True,1.875498,1,3.901628E-05,0
False,1.599659,1,0.0006243354,0
True,3.247345,1,1.635493E-05,0
True,1.573292,1,5.268862E-06,0
False,1.905732,1,0.0003028375,0
False,1.342206,1,0.0007916812,0
True,1.247781,1,1.140802E-05,0
False,1.325284,1,0.001130627,0
True,2.534289,1,3.325958E-05,0
False,1.711976,1,0.02296443,0.002712159
False,3.768185,1,0.001078571,0
False,2.811136,1,0.001124044,0
True,3.219629,1,8.545124E-06,0
False,2.040038,1,0.001342283,0
False,0.8665165,1,0.0006318947,0
True,2.180872,1,1.712553E-05,0
False,3.808636,1,0.004353033,0
False,2.370077,1,0.001596099,0
True,2.849307,1,1.378018E-05,0
False,2.619525,1,0.0004760606,0
True,1.982249,1,1.237539E-05,0
False,2.697512,1,0.002183659,0
True,2.025994,1,5.593038E-05,0
True,4.125139,1,7.484523E-05,0
True,2.766282,1,4.861708E-06,0
False,3.123268,1,0.0008255141,0
False,2.692769,1,0.005732483,0
False,1.931034,1,0.03253468,0.003131735
False,3.583744,1,0.0008521167,0
False,2.816709,1,0.006712543,0.001054142
False,2.715983,1,0.0001326818,0
True,0.723464,1,1.317441E-05,0
True,2.342524,1,8.880892E-06,0
False,1.953648,1,0.001799216,0
False,2.626365,1,0.002546414,0
False,3.173799,1,0.0001851335,0
False,3.276937,1,0.007629157,0
False,2.787111,1,0.002974443,0.001030972
False,1.930696,1,0.001425438,0
False,2.365317,1,0.001743383,0
False,2.394943,1,0.001794375,0
True,1.33529,1,8.775304E-06,0
False,3.079668,1,0.01595495,0
False,2.287568,1,0.09964298,0.002195293
False,1.925944,1,0.001198618,0
False,2.704293,1,0.02979737,0.0004914962
True,1.793627,1,1.322542E-05,0
True,1.862863,1,1.334771E-05,0
False,1.68513,1,0.0105376,0
False,1.992937,1,0.001008036,0
False,2.292802,1,9.734972E-05,0
False,1.059183,1,0.00118968,0
True,3.555298,1,9.7964E-06,0
True,1.878394,1,6.79996E-06,0
False,2.389161,1,0.0008701877,0
True,1.792439,1,7.137889E-06,0
False,3.004114,1,0.001414908,0
False,3.415059,1,8.427187E-05,0
False,3.588257,1,0.001726315,0
True,4.965343,1,5.088785E-06,0
True,3.027142,1,9.353373E-06,0
True,3.470852,1,1.772826E-05,0
False,2.147782,1,0.001617495,0
True,1.754224,1,7.310747E-06,0
False,1.834266,1,0.002718728,0
False,3.42776,1,0.04362522,0.002344293
False,1.686248,1,0.0004009586,0
True,2.149508,1,9.34178E-06,0
True,3.306481,1,6.668266E-06,0
False,1.188024,1,0.006397217,0
True,2.793999,1,1.84023E-05,0
False,2.263943,1,0.0007157769,0
False,1.510092,1,0.0002760899,0
False,1.74008,1,0.002465013,0
False,1.848711,1,0.00505356,0.001300378
False,1.523582,1,0.002371233,0
False,1.900206,1,0.001254873,0
False,2.062872,1,0.00345542,0.0005036338
False,3.506786,1,0.1857015,0.001699044
True,2.634762,1,1.469131E-05,0
False,0.9095423,1,0.06336226,0.00693964
False,1.990702,1,0.001018434,0
False,2.529516,1,0.001572813,0
False,3.714816,1,0.0002184932,0
False,1.364805,1,0.0001747043,0
False,3.051215,1,0.001585306,0
False,1.681202,1,0.003560591,0
True,2.529995,1,2.829884E-05,0
True,3.111083,1,9.696523E-06,0
False,3.540347,1,0.002640671,0
False,4.356136,1,0.001863067,0
True,2.168466,1,2.69146E-05,0
False,2.899356,1,0.00090011,0
False,3.162071,1,0.1051705,0.01603796
False,1.08097,1,0.004475867,0
False,3.846726,1,0.000764787,0
True,2.980662,1,1.270352E-05,0
True,3.505548,1,1.309689E-05,0
False,2.681487,1,0.0005054939,0
False,1.680541,1,0.009714791,0
False,2.086267,1,0.001272605,0
True,2.78878,1,1.212541E-05,0
False,2.639199,1,0.009955775,0
False,2.421814,1,0.01937861,0.001218872
False,4.321457,1,0.6951015,0.0192847
True,4.133729,1,1.118171E-05,0
True,2.517071,1,7.315848E-06,0
False,3.616772,1,0.0005667497,0
False,5.29179,1,0.02864685,0.002591456
False,2.506438,1,0.00257296,0
False,3.309163,1,0.0001470835,0
False,3.14833,1,0.001297734,0
True,1.792504,1,9.083599E-06,0
False,4.000104,1,0.0009197035,0
False,1.363588,1,0.007521948,0
False,1.571639,1,0.0005332984,0
False,1.932163,1,0.02647216,0.001990411
True,2.129251,1,3.187617E-05,0
False,2.377979,1,0.4563154,0.01380416
False,2.33885,1,0.003376313,0
False,3.369273,1,0.04304405,0.00587444
True,0.9678181,1,2.17521E-05,0
False,2.83312,1,0.0001163251,0
True,5.101109,1,7.840574E-06,0
True,2.131507,1,7.911955E-06,0
True,1.147391,1,8.90566E-06,0
True,3.47536,1,1.410251E-05,0
True,3.381205,1,1.990197E-05,0
False,1.636374,1,0.0009589895,0
False,2.865352,1,0.02657407,0.003799196
True,3.202729,1,1.158249E-05,0
False,2.885816,1,0.009959429,0
True,2.577243,1,1.175119E-05,0
True,0.9825593,1,7.673505E-06,0
False,1.029978,1,0.005957257,0
True,1.748379,1,4.735115E-05,0
False,2.301646,1,0.005726138,0.0005154856
False,3.088742,1,0.03185241,0.009997255
False,1.848544,1,0.01807083,0.00194747
False,2.261074,1,0.001282819,0
False,3.042257,1,0.0001173984,0
False,2.404724,1,0.1228398,0.003613436
False,3.231999,1,0.001232646,0
False,1.324639,1,0.001963522,0
False,1.213755,1,0.0007656623,0
False,2.796506,1,0.001845749,0
True,1.78015,1,7.487444E-06,0
True,2.084791,1,4.107967E-06,0
False,2.117855,1,0.0003571039,0
False,3.153494,1,0.001823702,0
False,1.558733,1,0.006225724,0
True,1.365103,1,5.861877E-05,0
False,2.549285,1,0.01042265,0
False,2.141824,1,0.04251523,0.002836245
False,3.572523,1,0.001993643,0
True,4.274248,1,1.300857E-05,0
False,2.544937,1,0.001915475,0
True,2.077707,1,1.048296E-05,0
False,2.37,1,0.3875517,0.00839318
False,2.315697,1,0.003195348,0
False,2.445702,1,0.002980663,0
False,2.836742,1,0.004021315,0
False,3.437219,1,0.001194519,0
False,3.642327,1,0.0006657659,0
True,2.616194,1,1.468423E-05,0
False,4.638141,1,0.02174152,0.001208922
True,4.329978,1,6.625549E-05,0
False,4.509688,1,0.01109739,0
True,3.40873,1,4.450261E-06,0
False,2.935188,1,0.0004704487,0
False,2.953412,1,0.0008085354,0
False,3.222854,1,0.2544237,0.005733965
True,2.021569,1,2.068341E-05,0
