Success,Time,Generations,Distance,Angle
True,3.470852,2,1.772826E-05,0
True,2.149638,37,5.687561E-06,0
True,1.754224,2,7.310747E-06,0
True,1.82534,6,5.516651E-06,0
True,2.195178,14,6.438249E-05,0
True,1.685602,7,1.379252E-05,0
True,2.149508,2,9.34178E-06,0
True,3.306481,2,6.668266E-06,0
False,1.182597,100,0.0003483115,0
True,2.793999,2,1.84023E-05,0
True,2.265351,7,1.321289E-05,0
True,1.637265,14,8.60792E-06,0
True,1.740139,4,1.039311E-05,0
True,1.850595,4,1.515509E-05,0
True,1.521259,16,3.268737E-05,0
True,1.909995,48,6.264604E-05,0
True,1.288463,7,3.7842E-05,0
True,3.495854,23,4.426824E-06,0
True,2.634709,6,2.172293E-05,0
True,0.9662312,24,5.083289E-05,0
True,1.990968,5,4.598161E-06,0
True,2.529474,4,2.388146E-05,0
True,3.714848,4,9.010559E-06,0
True,1.364928,4,8.766595E-06,0
True,2.514157,55,5.77688E-05,0
True,1.680744,33,2.982639E-05,0
True,2.529995,2,2.829884E-05,0
True,3.111083,2,9.696523E-06,0
True,3.540368,4,7.296729E-05,0
True,2.55589,71,1.035201E-05,0
True,2.168466,2,2.69146E-05,0
True,2.898464,12,8.949832E-06,0
True,2.441707,33,4.984731E-05,0
True,1.981431,85,4.310328E-05,0
True,3.846868,7,3.680017E-05,0
True,2.980662,2,1.270352E-05,0
True,3.505548,2,1.309689E-05,0
True,2.681652,4,7.362561E-06,0
True,2.253507,75,2.998441E-05,0
True,1.936997,25,2.398496E-05,0
True,2.78878,2,1.212541E-05,0
True,2.639621,29,7.81333E-05,0
True,2.059968,49,4.563745E-05,0
True,1.7902,82,1.653747E-05,0
True,4.133633,6,8.727769E-06,0
True,2.517071,2,7.315848E-06,0
True,3.276471,10,1.615803E-05,0
True,1.77435,14,2.604907E-05,0
True,2.50726,35,7.568206E-06,0
True,3.308921,4,2.405683E-05,0
True,3.148492,6,6.405091E-06,0
True,1.792504,2,9.083599E-06,0
True,4.000405,4,3.730056E-06,0
True,2.103897,85,7.157631E-05,0
True,1.571642,4,1.377996E-05,0
True,2.726746,6,2.104209E-05,0
True,2.129251,2,3.187617E-05,0
True,2.548523,8,1.329651E-05,0
True,2.338835,4,5.363371E-05,0
True,1.406854,18,3.586694E-05,0
True,0.9678181,7,2.17521E-05,0
True,2.833154,4,2.994129E-05,0
True,5.101109,2,7.840574E-06,0
True,2.131507,2,7.911955E-06,0
True,1.147391,2,8.90566E-06,0
True,3.47536,3,1.410251E-05,0
True,3.381205,2,1.990197E-05,0
True,2.85481,6,9.911591E-06,0
True,3.00844,66,2.760982E-05,0
True,3.202729,2,1.158249E-05,0
False,1.584866,100,0.0004205365,0
True,2.577243,2,1.175119E-05,0
True,0.9825593,2,7.673505E-06,0
True,1.047881,4,1.377386E-05,0
True,1.748379,2,4.735115E-05,0
True,3.010046,100,5.744215E-05,0
True,1.189756,8,1.719591E-05,0
True,1.79916,36,2.877592E-05,0
True,2.261749,23,1.189512E-05,0
True,2.776402,71,2.815096E-05,0
False,3.76363,100,8.842734E-05,0
True,3.232189,27,2.365636E-05,0
True,1.325461,13,1.00228E-05,0
True,1.235005,9,2.137307E-05,0
True,2.796439,4,3.973891E-06,0
True,1.78015,2,7.487444E-06,0
True,2.084791,2,4.107967E-06,0
True,2.117748,4,5.535739E-05,0
True,3.153713,6,2.156601E-05,0
False,2.321362,100,0.001232448,0
True,1.365103,2,5.861877E-05,0
True,2.522704,16,4.01083E-05,0
True,2.091116,35,2.608521E-05,0
True,3.598646,14,3.730699E-05,0
True,4.274248,2,1.300857E-05,0
True,2.973903,31,3.66477E-05,0
True,2.077707,4,1.048296E-05,0
True,1.278283,7,1.770408E-05,0
True,2.311096,8,4.245274E-05,0
True,2.445626,4,6.770131E-06,0
True,3.009154,11,2.695191E-05,0
True,3.436486,10,4.420499E-06,0
True,2.317481,13,1.042895E-05,0
True,2.616194,2,1.468423E-05,0
False,4.419674,100,0.0003325704,0
True,4.329978,2,6.625549E-05,0
True,3.353904,14,5.302134E-06,0
True,3.40873,2,4.450261E-06,0
True,3.433128,4,2.70111E-05,0
True,2.952194,10,1.370505E-05,0
True,1.379223,11,2.657592E-06,0
True,2.021569,2,2.068341E-05,0
True,2.251639,22,9.363812E-06,0
False,3.420046,100,0.003046812,0
True,2.330965,4,8.654381E-06,0
True,2.39293,92,1.280335E-05,0
True,2.047975,5,7.105776E-06,0
True,2.57678,57,4.84449E-05,0
True,1.556593,22,1.290379E-05,0
True,2.515345,2,2.423301E-05,0
True,2.787191,7,1.054926E-05,0
True,2.410182,2,4.47218E-05,0
True,1.926427,52,2.002186E-05,0
True,3.482422,39,4.137919E-05,0
True,2.961331,4,4.836798E-06,0
True,2.175844,64,2.327035E-05,0
True,2.229056,7,2.3778E-05,0
True,2.021721,18,1.38037E-05,0
True,2.080953,13,2.716429E-06,0
True,2.626792,41,6.558042E-05,0
True,1.535043,4,1.068903E-05,0
True,2.884066,59,1.884292E-05,0
True,1.210657,20,5.329352E-05,0
True,1.702277,35,3.233496E-05,0
True,2.980441,2,2.095923E-05,0
True,2.33477,23,4.615513E-06,0
True,1.561697,8,3.498442E-06,0
True,2.26564,28,1.975793E-05,0
True,1.217529,8,7.260511E-05,0
True,1.917989,4,1.505073E-05,0
True,3.189352,8,1.498117E-05,0
True,1.038339,6,2.971957E-05,0
True,2.725278,4,2.744886E-05,0
True,1.692274,6,7.190899E-05,0
False,1.909763,100,0.002190981,0
True,3.955226,11,6.485207E-06,0
True,3.525728,2,8.670581E-06,0
True,2.499495,4,4.31887E-06,0
True,1.954284,8,7.418851E-05,0
True,1.572798,2,9.912308E-06,0
True,2.775933,12,1.134745E-05,0
True,2.520425,4,1.302003E-05,0
True,2.503745,8,2.084834E-05,0
True,1.987636,4,3.290802E-05,0
True,1.245062,100,2.291401E-05,0
True,2.449142,4,5.566474E-05,0
True,1.502604,2,1.667961E-05,0
True,2.905963,2,1.075992E-05,0
True,1.343442,10,3.475806E-06,0
True,3.692269,4,1.459279E-05,0
True,5.065463,2,6.518743E-06,0
True,2.061122,4,1.845329E-05,0
True,3.662344,4,3.593702E-05,0
True,2.291493,9,6.465937E-06,0
True,3.24159,2,3.076952E-05,0
True,1.74863,3,4.378407E-06,0
True,2.807425,100,1.89344E-05,0
True,2.482294,20,7.043752E-05,0
True,1.61786,76,6.518743E-05,0
True,2.739245,4,4.319589E-06,0
True,1.546996,35,2.246233E-05,0
True,2.534682,4,3.383975E-06,0
True,2.072195,2,1.95986E-05,0
True,1.877908,88,1.445956E-05,0
True,1.548653,8,4.494242E-05,0
True,1.296099,11,2.336745E-05,0
True,2.394357,4,2.283286E-05,0
True,1.653166,26,6.090586E-05,0
True,3.276971,73,7.271581E-05,0
True,2.247396,16,6.174535E-05,0
True,2.37077,64,5.439615E-05,0
True,1.684489,6,2.736581E-05,0
True,2.660476,2,5.35547E-06,0
True,3.66559,4,9.535253E-06,0
True,4.122429,2,7.705385E-06,0
True,1.871156,22,2.905382E-05,0
True,2.213633,2,2.312322E-06,0
False,3.277087,100,0.00101099,0
True,3.885588,4,1.067323E-05,0
True,1.583356,10,1.344891E-05,0
True,3.433598,15,2.083958E-05,0
True,4.587349,100,6.100898E-05,0
True,2.741187,100,5.797997E-05,0
True,3.331552,5,1.113771E-05,0
True,1.533867,20,6.217522E-05,0
True,2.586509,56,2.32678E-05,0
True,2.379409,4,1.462784E-05,0
True,2.146987,4,4.377579E-05,0
True,1.717994,2,1.336328E-05,0
True,1.887489,8,5.922102E-05,0
True,2.136231,2,2.698715E-05,0
True,3.49235,2,7.990802E-06,0
True,3.407717,11,8.279684E-06,0
True,3.171954,20,4.81575E-06,0
True,3.030702,9,8.337516E-06,0
True,1.844444,4,1.741353E-05,0
True,1.233374,10,5.364537E-05,0
True,1.92943,6,4.987595E-06,0
True,2.095709,4,1.363631E-05,0
True,2.064255,99,7.382911E-05,0
True,2.524262,2,6.82831E-06,0
True,3.913307,2,6.592155E-05,0
True,1.838032,100,1.965024E-05,0
True,1.932953,2,5.203045E-06,0
True,2.29104,31,2.482958E-05,0
