Epoch,Training,Testing,Best
1,88.61661845801903,88.66534973551808,88.66534973551808
2,89.6481225675069,89.70585701652126,89.70585701652126
3,89.86517435724235,89.90202766989263,89.90202766989263
4,90.15396366876682,90.19416297588731,90.19416297588731
5,90.00071799218917,90.02597815278462,90.19416297588731
6,91.07340446692616,91.08903030822066,91.08903030822066
7,90.74418707451811,90.78538876182749,91.08903030822066
8,91.01543960232513,90.9597577443033,91.08903030822066
9,91.4945889669332,91.47473341832448,91.47473341832448
10,91.80557223750924,91.82730341063355,91.82730341063355
11,91.83048413796519,91.84479706935362,91.84479706935362
12,91.63573495890752,91.63275304333185,91.84479706935362
13,91.42286108148684,91.42685703183258,91.84479706935362
14,91.65675428909697,91.66154340296211,91.84479706935362
15,91.10740545966904,91.10415518310381,91.84479706935362
16,91.21624950844016,91.20575720167851,91.84479706935362
17,91.06035471722791,91.05128507613121,91.84479706935362
18,91.83448872269217,91.79314576019445,91.84479706935362
19,91.79479252292091,91.79844485138096,91.84479706935362
20,91.86760063080064,91.86325571344354,91.86325571344354
21,91.89831603500414,91.86715358257422,91.86715358257422
22,92.31918766391084,92.27911870366528,92.27911870366528
23,91.93033195356901,91.88773901507086,92.27911870366528
24,91.95585206466522,91.95248816545298,92.27911870366528
25,91.88384194791946,91.87368486453647,92.27911870366528
26,91.67869522744148,91.655073582874,92.27911870366528
27,92.50507944240391,92.5019739714844,92.5019739714844
28,91.88452205887418,91.86403192418636,92.5019739714844
29,92.21730015961526,92.19314909284097,92.5019739714844
30,92.14211252727364,92.10899574315033,92.5019739714844
31,91.5277131942972,91.4916353111243,92.5019739714844
32,91.93206063564895,91.9172241722304,92.5019739714844
33,92.05337532880465,92.02523580675476,92.5019739714844
34,92.53387435335844,92.47828111277262,92.5019739714844
35,91.19928888683964,91.15671149746211,92.5019739714844
36,92.18877760808861,92.14473155367814,92.5019739714844
37,92.01908775543694,91.96437544365513,92.5019739714844
38,92.1520460900663,92.09684136069973,92.5019739714844
39,92.42213543297157,92.40153068385773,92.5019739714844
40,91.74291201788421,91.7096584630539,92.5019739714844
41,91.8504647290512,91.81063313961633,92.5019739714844
42,92.82741795826153,92.78742464245741,92.78742464245741
43,91.98918960625299,91.93886059571413,92.78742464245741
44,91.74995435426918,91.70327128841974,92.78742464245741
45,91.68050039742064,91.63069345747806,92.78742464245741
46,92.0166158969231,91.94314046590121,92.78742464245741
47,92.1858876319489,92.12232346638196,92.78742464245741
48,92.16117908863583,92.09146331095866,92.78742464245741
49,92.98378944321213,92.9115931665192,92.9115931665192
50,91.89067662491243,91.83714510402262,92.9115931665192
51,91.93198033323574,91.91468430728249,92.9115931665192
52,91.90144067779362,91.87094660576942,92.9115931665192
53,92.0277390110476,92.0013056176657,92.9115931665192
54,92.44556018111652,92.42168946051208,92.9115931665192
55,92.3213484683845,92.31755009029467,92.9115931665192
56,92.0900824903039,92.07764626499463,92.9115931665192
57,92.63267276503741,92.63458525834504,92.9115931665192
58,91.9668794928806,91.9829735174036,92.9115931665192
59,92.81736316507224,92.80796885314086,92.9115931665192
60,92.32150865531997,92.30578999351624,92.9115931665192
61,92.36374218847837,92.36867473116142,92.9115931665192
62,92.34928441490425,92.32559199823152,92.9115931665192
63,92.07472217395811,92.05975566745283,92.9115931665192
64,91.9572094891236,91.95372413228033,92.9115931665192
65,91.79163099186653,91.77220791740407,92.9115931665192
66,92.35209775574464,92.32728411782341,92.9115931665192
67,92.26223525891291,92.23797952577377,92.9115931665192
68,91.93720739936992,91.90655686683765,92.9115931665192
69,91.46987365195963,91.46007209936342,92.9115931665192
70,92.26307080638288,92.24697119450866,92.9115931665192
71,91.78732924661016,91.77940876369549,92.9115931665192
72,92.63184588142808,92.6170309860561,92.9115931665192
73,92.59785859324438,92.58260940277088,92.9115931665192
74,92.33730101686331,92.31297944244852,92.9115931665192
75,92.80613243795938,92.78787358724524,92.9115931665192
76,91.92960356158906,91.92007620739435,92.9115931665192
77,91.84863779000479,91.82245550063976,92.9115931665192
78,92.25841740560455,92.2576925080161,92.9115931665192
79,92.95032549955191,92.92630688439809,92.92630688439809
80,92.4971236299665,92.49777919872734,92.92630688439809
81,92.25968744691212,92.24440978106965,92.92630688439809
82,92.5155158612359,92.49903797434851,92.92630688439809
83,91.56927665701339,91.55453585986325,92.92630688439809
84,91.65262443710874,91.6317958357182,92.92630688439809
85,92.66321982066398,92.6492863569248,92.92630688439809
86,92.99183410538699,92.96804742699784,92.96804742699784
87,92.64720424841518,92.6499285943545,92.96804742699784
88,92.97054892858505,92.92851861541143,92.96804742699784
89,92.08186805632576,92.05454775011837,92.96804742699784
90,92.5149953065937,92.4944523933659,92.96804742699784
91,91.69094949498256,91.67699417326385,92.96804742699784
92,92.15881534033927,92.12240861499781,92.96804742699784
93,92.46475636700708,92.4429051599107,92.96804742699784
94,92.58178418072754,92.56269765031539,92.96804742699784
95,92.5749307749051,92.54994517771254,92.96804742699784
96,92.26142303853149,92.24626084298055,92.96804742699784
97,92.68258671028502,92.66642565410154,92.96804742699784
98,92.05023326206576,92.03663488418567,92.96804742699784
99,92.15677936335001,92.15434675099566,92.96804742699784
100,92.2691083984656,92.26188490675868,92.96804742699784
