Epoch,Training,Testing,Best
1,86.28444329061547,85.69111902940898,85.69111902940898
2,86.1584917667974,85.54283970789565,85.69111902940898
3,86.40152042951624,85.79255157554736,85.79255157554736
4,86.5038926726822,85.91036263282331,85.91036263282331
5,86.2139150779549,85.60349218838165,85.91036263282331
6,86.75692886541971,86.1476199899015,86.1476199899015
7,86.83693447730877,86.23582629543569,86.23582629543569
8,86.69881991015109,85.93771670725934,86.23582629543569
9,86.8981640608255,86.12946135564276,86.23582629543569
10,86.89866865192542,86.08661852370972,86.23582629543569
11,85.04058174696752,83.66563856297508,86.23582629543569
12,86.7667714396883,85.5100144553447,86.23582629543569
13,86.79946320082435,85.50531393760905,86.23582629543569
14,87.03177542868444,85.89248092968425,86.23582629543569
15,87.02446702719668,86.08309597191493,86.23582629543569
16,86.98575038049557,86.13151714488673,86.23582629543569
17,86.92474784617313,85.94276438876376,86.23582629543569
18,86.96164485337773,86.12181385897557,86.23582629543569
19,86.95503800624678,86.12430304197837,86.23582629543569
20,87.02204740336725,86.12475263193697,86.23582629543569
21,87.03060077314267,86.13408232074492,86.23582629543569
22,87.0014953633044,86.02908868651174,86.23582629543569
23,86.88201330088266,85.9426328433207,86.23582629543569
24,86.96686734906771,85.99621899117608,86.23582629543569
25,86.81851953586379,85.97946930348077,86.23582629543569
26,87.03558717759886,86.17776860395536,86.23582629543569
27,86.66072824298779,85.69612442481929,86.23582629543569
28,87.03387300735154,86.08590911660671,86.23582629543569
29,87.08126646994987,86.10222907461869,86.23582629543569
30,87.0666033899952,86.15070257618832,86.23582629543569
31,87.15989882651904,86.18217538469469,86.23582629543569
32,87.08080521228352,86.12874989284168,86.23582629543569
33,87.02732729394177,86.17754900172466,86.23582629543569
34,87.15680316664466,86.33929155965338,86.33929155965338
35,86.90702559653111,86.14829708642318,86.33929155965338
36,86.94292238702812,86.16044103840322,86.33929155965338
37,87.22633701540717,86.3797564945749,86.3797564945749
38,86.62722679604778,85.64839448729286,86.3797564945749
39,86.91535735491851,86.09471779822897,86.3797564945749
40,87.06272976304034,86.29472567213428,86.3797564945749
41,86.99487610500493,86.16429536972664,86.3797564945749
42,87.0828285602052,86.27567963829567,86.3797564945749
43,87.11944389689157,86.36132776643804,86.3797564945749
44,86.97611213889161,86.26238136218292,86.3797564945749
45,86.99865859160761,86.26051957320735,86.3797564945749
46,87.08505315967837,86.2790621035738,86.3797564945749
47,86.76071480546335,86.01078138018079,86.3797564945749
48,86.9704224322606,86.20845153405652,86.3797564945749
49,86.84923172284104,85.9852228630366,86.3797564945749
50,87.01141640775838,86.2018091805273,86.3797564945749
51,86.97941416536459,86.26666736312748,86.3797564945749
52,87.13689939965495,86.45463654186176,86.45463654186176
53,87.00194839041868,86.2331134817259,86.45463654186176
54,86.99820778174886,86.17621293365369,86.45463654186176
55,87.08671248235741,86.34213650234176,86.45463654186176
56,86.94542679321209,86.23416190057755,86.45463654186176
57,86.66360285061042,85.84905463839007,86.45463654186176
58,87.04586746305415,86.33741293469991,86.45463654186176
59,86.90851742949525,86.1671331090458,86.45463654186176
60,87.12553556501308,86.42403379896179,86.45463654186176
61,87.01379807708601,86.27578097104491,86.45463654186176
62,87.0423968537096,86.29996534933052,86.45463654186176
63,87.01068650690654,86.21593285341949,86.45463654186176
64,87.10885700784812,86.34043565513694,86.45463654186176
65,86.88237420886942,85.96172005665281,86.45463654186176
66,87.14867224055716,86.15844072936699,86.45463654186176
67,86.94586448833535,86.22311538657674,86.45463654186176
68,86.99988069375793,86.28645653482798,86.45463654186176
69,87.00794114373068,86.26837818849498,86.45463654186176
70,87.16109314039538,86.44947198598399,86.45463654186176
71,86.97908976096103,86.27249835087115,86.45463654186176
72,87.03917283142546,86.2559447375127,86.45463654186176
73,87.13845784885625,86.38495209288108,86.45463654186176
74,87.08955238193461,86.2783759502378,86.45463654186176
75,87.05646406361649,86.05607372223388,86.45463654186176
76,87.2085293196235,86.42087049419118,86.45463654186176
77,86.94980342310855,86.15063816016676,86.45463654186176
78,86.62685350619445,85.83060821223623,86.45463654186176
79,86.93090506670812,86.15261698292429,86.45463654186176
80,87.11121488995292,86.26731949683973,86.45463654186176
81,87.07913282723167,86.3316182845847,86.45463654186176
82,86.88360635472276,86.14776921942745,86.45463654186176
83,86.98639599787631,86.20726756662296,86.45463654186176
84,87.15069943040052,86.4186347599085,86.45463654186176
85,87.00800626039693,86.35159100114764,86.45463654186176
86,87.09477236474493,86.38246049826492,86.45463654186176
87,87.09365983427504,86.32742210663578,86.45463654186176
88,87.03020664584824,86.25733039389584,86.45463654186176
89,87.02871314266511,86.25280507228744,86.45463654186176
90,86.98180741493591,86.25763564299791,86.45463654186176
91,87.12732048894652,86.36854749881621,86.45463654186176
92,87.04798516757228,86.1787411243046,86.45463654186176
93,87.07562386983821,86.25225966787427,86.45463654186176
94,87.084478423493,86.29099415793328,86.45463654186176
95,86.87327061954329,86.14092845179202,86.45463654186176
96,87.14752634170094,86.41947212117587,86.45463654186176
97,87.2205077267457,86.44214434046563,86.45463654186176
98,86.99390577646533,86.2088970447746,86.45463654186176
99,87.09348498323001,86.26798074590147,86.45463654186176
100,87.09354453548977,86.29133016006301,86.45463654186176
