Epoch,Training (%),Testing (%),Best (%)
1,86.36565728803512%,86.30287191997802%,86.30287191997802%
2,88.48814240198557%,88.49549209669159%,88.49549209669159%
3,89.17995026823876%,89.16869596793381%,89.16869596793381%
4,89.84119053802151%,89.81639767961211%,89.81639767961211%
5,90.45022834451285%,90.47739444203444%,90.47739444203444%
6,91.6274295807072%,91.58038690720662%,91.58038690720662%
7,90.9033980348741%,90.88888961078541%,91.58038690720662%
8,91.87296880126394%,91.83217616230425%,91.83217616230425%
9,92.95158515198183%,92.89701031983587%,92.89701031983587%
10,92.26814000894674%,92.20748054780607%,92.89701031983587%
11,92.5146608509637%,92.46207360758756%,92.89701031983587%
12,92.112290236123%,92.07682740242576%,92.89701031983587%
13,93.28664162209512%,93.26121899745606%,93.26121899745606%
14,93.27596175837151%,93.22801251775822%,93.26121899745606%
15,92.60069485278287%,92.53640855692747%,93.26121899745606%
16,93.51853759080886%,93.46815407430186%,93.46815407430186%
17,92.86470962290291%,92.81995422177641%,93.46815407430186%
18,93.0684186664256%,93.04021742494238%,93.46815407430186%
19,92.92435573638537%,92.84253518597274%,93.46815407430186%
20,93.12949928985446%,93.08105762302768%,93.46815407430186%
21,92.68320598887901%,92.61363793276092%,93.46815407430186%
22,93.72099212042204%,93.6641407056766%,93.6641407056766%
23,93.38154950401393%,93.32479512391217%,93.6641407056766%
24,93.77112254379195%,93.73075445708236%,93.73075445708236%
25,93.39698088709277%,93.34320776774503%,93.73075445708236%
26,92.92982498684843%,92.87090220260151%,93.73075445708236%
27,93.62742771979168%,93.58247998934452%,93.73075445708236%
28,93.06539106709738%,93.02428898248357%,93.73075445708236%
29,93.39426401352414%,93.32613570793347%,93.73075445708236%
30,93.39888166299033%,93.34365513945048%,93.73075445708236%
31,94.45732548843658%,94.40013591556836%,94.40013591556836%
32,93.44789411460532%,93.391013107475%,94.40013591556836%
33,92.8388638880872%,92.75916689297202%,94.40013591556836%
34,93.62950517320138%,93.5749254622241%,94.40013591556836%
35,93.45297661580338%,93.41693709051336%,94.40013591556836%
36,93.82801724459455%,93.77639680181447%,94.40013591556836%
37,93.69417118986163%,93.66707838769446%,94.40013591556836%
38,93.58101289862412%,93.54582202324063%,94.40013591556836%
39,93.58058077137032%,93.54541185931583%,94.40013591556836%
40,93.81397966882619%,93.76918827521934%,94.40013591556836%
41,93.07224304858337%,93.00872761901888%,94.40013591556836%
42,93.24330864405653%,93.21575769902836%,94.40013591556836%
43,94.69947253888921%,94.6273618464958%,94.6273618464958%
44,93.59566388082288%,93.55602824475545%,94.6273618464958%
45,93.61333731264506%,93.5556300403087%,94.6273618464958%
46,94.04081046475811%,93.98374542294924%,94.6273618464958%
47,93.88803769719958%,93.8457659310948%,94.6273618464958%
48,93.07307126776256%,93.03024971626009%,94.6273618464958%
49,93.2522444219901%,93.22096766789232%,94.6273618464958%
50,93.96561631994169%,93.92096121380114%,94.6273618464958%
51,92.66018411357615%,92.61284589937861%,94.6273618464958%
52,94.71492743515923%,94.66850499731045%,94.66850499731045%
53,93.43714874175357%,93.38984500091136%,94.66850499731045%
54,93.92400560958978%,93.88440634541561%,94.66850499731045%
55,93.88448369946306%,93.84919011542709%,94.66850499731045%
56,93.81613825562496%,93.75610393237127%,94.66850499731045%
57,93.2705720357664%,93.21614886824587%,94.66850499731045%
58,93.58847555884584%,93.54200659601602%,94.66850499731045%
59,94.29084693822021%,94.24389614578676%,94.66850499731045%
60,93.06053821501672%,93.01501481702658%,94.66850499731045%
61,92.74032917439841%,92.6678690626023%,94.66850499731045%
62,93.70964563512845%,93.6791705326114%,94.66850499731045%
63,93.78068665033581%,93.749622445983%,94.66850499731045%
64,93.22146929860544%,93.14873704976283%,94.66850499731045%
65,93.67357465006505%,93.62944984116073%,94.66850499731045%
66,93.443538679416%,93.39698479272212%,94.66850499731045%
67,93.63169753681387%,93.55504552224757%,94.66850499731045%
68,94.12439104093625%,94.08705091882686%,94.66850499731045%
69,93.31359085486802%,93.28129091503011%,94.66850499731045%
70,93.53274829179267%,93.48657285743982%,94.66850499731045%
71,93.55678069981622%,93.55021981947927%,94.66850499731045%
72,93.87639390806434%,93.8260559007008%,94.66850499731045%
73,93.77997059064644%,93.74920925470073%,94.66850499731045%
74,93.91161298513971%,93.88028565658033%,94.66850499731045%
75,93.64909224245329%,93.58795294491378%,94.66850499731045%
76,93.97074081808576%,93.95104404045978%,94.66850499731045%
77,94.69200329339462%,94.64429516375182%,94.66850499731045%
78,93.89049856181188%,93.86039593747869%,94.66850499731045%
79,93.18687266083823%,93.15911212955626%,94.66850499731045%
80,93.57396873122121%,93.53509348911423%,94.66850499731045%
81,94.5327546831997%,94.49505796732835%,94.66850499731045%
82,93.62470886723516%,93.6153414676224%,94.66850499731045%
83,92.8776762560575%,92.81917103773395%,94.66850499731045%
84,93.26862397165108%,93.24560610708093%,94.66850499731045%
85,93.0028981322933%,92.9655524764695%,94.66850499731045%
86,93.45717985406867%,93.40877129408105%,94.66850499731045%
87,93.75027712624335%,93.73726106447911%,94.66850499731045%
88,93.16045458049128%,93.1398309841375%,94.66850499731045%
89,93.23660865464609%,93.18577939474932%,94.66850499731045%
90,93.41868434858559%,93.3766623032902%,94.66850499731045%
91,93.18537287886524%,93.15166715111684%,94.66850499731045%
92,94.23908835137902%,94.21854123930899%,94.66850499731045%
93,92.90416372396105%,92.87673910801641%,94.66850499731045%
94,93.1265544057549%,93.09470019672224%,94.66850499731045%
95,93.93447834911973%,93.8917976196425%,94.66850499731045%
96,94.26199795625718%,94.22729561865111%,94.66850499731045%
97,94.04461471495807%,94.01968791302933%,94.66850499731045%
98,92.9399275473088%,92.9183048721584%,94.66850499731045%
99,93.55172228455451%,93.50714539323506%,94.66850499731045%
100,94.02502927238474%,93.98427728579996%,94.66850499731045%
