Epoch,Training (%),Testing (%),Best (%)
1,89.72728971243318%,89.67223996805332%,89.67223996805332%
2,90.67080696618434%,90.60522349429445%,90.60522349429445%
3,90.46029002177349%,90.39762188948333%,90.60522349429445%
4,90.55776394292828%,90.48694934528807%,90.60522349429445%
5,91.16483521990865%,91.09286647701697%,91.09286647701697%
6,90.34567713540031%,90.27298607190109%,91.09286647701697%
7,91.09442113837405%,91.00952175210001%,91.09286647701697%
8,91.23497660899193%,91.19040862704814%,91.19040862704814%
9,91.2724555044723%,91.22361017948654%,91.22361017948654%
10,91.588699108478%,91.52534195643473%,91.52534195643473%
11,91.82937636980864%,91.745584832262%,91.745584832262%
12,91.44959319292698%,91.382113072621%,91.745584832262%
13,92.16319889683618%,92.0734914657061%,92.0734914657061%
14,91.15458736972333%,91.07679422267971%,92.0734914657061%
15,91.50662147224267%,91.43192923711725%,92.0734914657061%
16,91.68017864862803%,91.60183586317385%,92.0734914657061%
17,92.24907677058759%,92.17400073415023%,92.17400073415023%
18,92.2236789340612%,92.14175984875314%,92.17400073415023%
19,92.49559511110137%,92.40633728523126%,92.40633728523126%
20,92.03605217862038%,91.93333109371926%,92.40633728523126%
21,92.87119394309414%,92.81052974222204%,92.81052974222204%
22,92.72162747985848%,92.62012526630848%,92.81052974222204%
23,92.47136054932487%,92.40762121591823%,92.81052974222204%
24,91.5408969754632%,91.44541354564444%,92.81052974222204%
25,92.28290936198566%,92.1878302906448%,92.81052974222204%
26,92.16223956893973%,92.08028203958489%,92.81052974222204%
27,92.85431366642449%,92.77906357765299%,92.81052974222204%
28,92.93945239311391%,92.86587714494352%,92.86587714494352%
29,92.84140133610758%,92.74588570138268%,92.86587714494352%
30,93.10345026708205%,93.03052172098751%,93.03052172098751%
31,92.7883018665194%,92.70851376906181%,93.03052172098751%
32,92.660525012611%,92.58446686466314%,93.03052172098751%
33,93.17028081484195%,93.09585284413983%,93.09585284413983%
34,92.95211379393301%,92.87926279098558%,93.09585284413983%
35,92.65706907964977%,92.60315074538555%,93.09585284413983%
36,92.89468628830745%,92.82964555488024%,93.09585284413983%
37,92.70249588104778%,92.6464666106464%,93.09585284413983%
38,92.4509470207586%,92.37737893706378%,93.09585284413983%
39,91.91805524294352%,91.85961668721335%,93.09585284413983%
40,92.80837169576152%,92.73138648066664%,93.09585284413983%
41,92.56133790123309%,92.53402748556393%,93.09585284413983%
42,93.1505887705726%,93.07911065637799%,93.09585284413983%
43,92.76468557993351%,92.70048635329104%,93.09585284413983%
44,92.97796510880261%,92.89045891754311%,93.09585284413983%
45,92.58192983460494%,92.49136410040522%,93.09585284413983%
46,92.44400418247893%,92.37264761934763%,93.09585284413983%
47,92.78304429298235%,92.69180060694005%,93.09585284413983%
48,93.24369709981845%,93.154183886443%,93.154183886443%
49,92.42471941614387%,92.34536926983266%,93.154183886443%
50,92.76901574568637%,92.68214660046573%,93.154183886443%
51,92.99689901658735%,92.91717908496767%,93.154183886443%
52,93.01206040138665%,92.92778985642772%,93.154183886443%
53,93.09417538263006%,93.0015526119169%,93.154183886443%
54,92.90142999952688%,92.81552539677138%,93.154183886443%
55,92.71347536719222%,92.62181030357279%,93.154183886443%
56,93.14885458924799%,93.06273824081998%,93.154183886443%
57,92.91080141229395%,92.83946566139244%,93.154183886443%
58,93.01119071704646%,92.91002794111186%,93.154183886443%
59,92.71101912752108%,92.60579468374056%,93.154183886443%
60,92.78839286357511%,92.69939532481825%,93.154183886443%
61,93.35819070807325%,93.2749325057734%,93.2749325057734%
62,93.31825202943973%,93.22997105078092%,93.2749325057734%
63,93.15595671973284%,93.0861552236355%,93.2749325057734%
64,93.32047877129509%,93.2300406557705%,93.2749325057734%
65,92.76514321073974%,92.66904271843829%,93.2749325057734%
66,92.81872059887844%,92.71654245503078%,93.2749325057734%
67,93.44552305058936%,93.35239192635859%,93.35239192635859%
68,92.87611625063998%,92.77964689485057%,93.35239192635859%
69,93.57360093822619%,93.48433006405425%,93.48433006405425%
70,93.02124849528217%,92.92981025566426%,93.48433006405425%
71,92.93956430659219%,92.85026603372197%,93.48433006405425%
72,93.4963360195293%,93.42206317581277%,93.48433006405425%
73,93.22873580935018%,93.14809432294602%,93.48433006405425%
74,93.09920975741639%,93.01804394699342%,93.48433006405425%
75,93.26126626335586%,93.18297378222097%,93.48433006405425%
76,93.49772042986504%,93.3974484219372%,93.48433006405425%
77,93.29690235393784%,93.18967479623211%,93.48433006405425%
78,93.24103547233314%,93.13451161720599%,93.48433006405425%
79,92.17564304868849%,92.08484582253666%,93.48433006405425%
80,92.58805605334294%,92.48402209755139%,93.48433006405425%
81,92.7941387040483%,92.718008096504%,93.48433006405425%
82,93.02961114649673%,92.95757189921576%,93.48433006405425%
83,92.80827533057759%,92.71267644948826%,93.48433006405425%
84,93.3145916775674%,93.21567858022419%,93.48433006405425%
85,93.61200106953169%,93.52035254793486%,93.52035254793486%
86,93.07048820105273%,92.98006314646796%,93.52035254793486%
87,93.31298924140077%,93.22973379562964%,93.52035254793486%
88,93.17505144627017%,93.06648215486844%,93.52035254793486%
89,93.58906154500318%,93.51826290384992%,93.52035254793486%
90,93.24770799166753%,93.15993270958593%,93.52035254793486%
91,93.74086688057835%,93.65109580883103%,93.65109580883103%
92,93.48232106437241%,93.39632477436133%,93.65109580883103%
93,92.95776888669026%,92.86833004256869%,93.65109580883103%
94,93.05615950366872%,92.96501089599876%,93.65109580883103%
95,93.46651319743015%,93.36760371410392%,93.65109580883103%
96,92.50885681463251%,92.41099341519383%,93.65109580883103%
97,93.74958188242731%,93.65776811527357%,93.65776811527357%
98,93.7358721215796%,93.62517050383823%,93.65776811527357%
99,93.35679639832126%,93.26363761139453%,93.65776811527357%
100,93.19030032619271%,93.10050352213395%,93.65776811527357%
