Epoch,Training (%),Testing (%),Best (%)
1,85.98684202644692%,85.9166329028618%,85.9166329028618%
2,86.24684258635806%,86.16955681986809%,86.16955681986809%
3,86.29704692722575%,86.2088484494811%,86.2088484494811%
4,86.70631906850355%,86.63498618180272%,86.63498618180272%
5,86.84543036000893%,86.78432049216018%,86.78432049216018%
6,86.89137574312554%,86.826646576696%,86.826646576696%
7,86.98309579067396%,86.9059104755187%,86.9059104755187%
8,87.07368065536485%,87.0125457487195%,87.0125457487195%
9,86.93219017182754%,86.86762858977124%,87.0125457487195%
10,87.07909236991868%,87.00941247540997%,87.0125457487195%
11,87.28286779956983%,87.19990026622584%,87.19990026622584%
12,87.11710965927408%,87.0405349848239%,87.19990026622584%
13,87.27820497838125%,87.213536266373%,87.213536266373%
14,87.2687107184054%,87.20002729549877%,87.213536266373%
15,87.19805533496753%,87.13952380498664%,87.213536266373%
16,87.31999485058056%,87.25882471580736%,87.25882471580736%
17,87.27344404326097%,87.22385101402604%,87.25882471580736%
18,87.2463668308826%,87.18363902021215%,87.25882471580736%
19,87.21928354403839%,87.15345077221957%,87.25882471580736%
20,86.62460569697336%,86.35890011120051%,87.25882471580736%
21,87.11191761786954%,87.04600981894563%,87.25882471580736%
22,87.28288868406878%,87.18664241478278%,87.25882471580736%
23,86.97067409167157%,86.82436514335545%,87.25882471580736%
24,87.06454967191162%,86.94916943160796%,87.25882471580736%
25,87.02214688525626%,86.95552012177761%,87.25882471580736%
26,87.21056598315852%,87.14842363075466%,87.25882471580736%
27,87.3630398882972%,87.29746996012402%,87.29746996012402%
28,87.21973791417199%,87.14440905558672%,87.29746996012402%
29,87.32828584568666%,87.2725582169128%,87.29746996012402%
30,87.14548152985887%,87.05570449646478%,87.29746996012402%
31,87.26190410852895%,87.19629783922889%,87.29746996012402%
32,87.20882033868598%,87.13158653212369%,87.29746996012402%
33,86.85579022247806%,86.78162013575327%,87.29746996012402%
34,87.20086350380348%,87.12242024767251%,87.29746996012402%
35,87.1867200436862%,87.09286185995533%,87.29746996012402%
36,87.21259177054183%,87.13751090817898%,87.29746996012402%
37,87.29075640127526%,87.21119709728531%,87.29746996012402%
38,87.26563684132414%,87.17355493504928%,87.29746996012402%
39,87.32698527238236%,87.25075166123413%,87.29746996012402%
40,87.09523843278454%,87.01221139051704%,87.29746996012402%
41,87.27585608114765%,87.1864997417618%,87.29746996012402%
42,87.35466719253824%,87.259866356429%,87.29746996012402%
43,87.15018964107799%,87.05927881124566%,87.29746996012402%
44,87.22951955635564%,87.14188338081681%,87.29746996012402%
45,87.41973519128278%,87.32528767421043%,87.32528767421043%
46,87.27574683821665%,87.20356345675083%,87.32528767421043%
47,87.25309139094219%,87.17156332512562%,87.32528767421043%
48,87.16097303557859%,87.09017474273946%,87.32528767421043%
49,87.35381358206735%,87.29223835152187%,87.32528767421043%
50,87.25066089167164%,87.17469894305759%,87.32528767421043%
51,87.2233624255033%,87.15239132273335%,87.32528767421043%
52,87.30982642950488%,87.2264079790163%,87.32528767421043%
53,87.17640148872601%,87.08753986283514%,87.32528767421043%
54,87.41867258833813%,87.35370057955349%,87.35370057955349%
55,87.4108013023855%,87.32493808522169%,87.35370057955349%
56,87.32611237632202%,87.24865081536026%,87.35370057955349%
57,87.46993129182326%,87.3969441244276%,87.3969441244276%
58,87.31472098283933%,87.26064360427793%,87.3969441244276%
59,87.22335433183328%,87.14591224755841%,87.3969441244276%
60,87.33032905645388%,87.25746632853729%,87.3969441244276%
61,87.45212537637816%,87.37021594449418%,87.3969441244276%
62,87.44873031503425%,87.356049824819%,87.3969441244276%
63,87.3781963996412%,87.28710121368543%,87.3969441244276%
64,87.44884500679836%,87.36954519361984%,87.3969441244276%
65,87.29962248439223%,87.22629621448658%,87.3969441244276%
66,87.22611863801346%,87.15218642727109%,87.3969441244276%
67,87.34159891060457%,87.24161498286661%,87.3969441244276%
68,87.30528578062074%,87.24548309410197%,87.3969441244276%
69,87.47709151228236%,87.39711154716734%,87.39711154716734%
70,87.24309619205908%,87.16713469007438%,87.39711154716734%
71,87.30143362272995%,87.19994535108124%,87.39711154716734%
72,87.58453874440954%,87.52066344912363%,87.52066344912363%
73,87.42867001727687%,87.36479246947778%,87.52066344912363%
74,87.4867871423261%,87.41755376931353%,87.52066344912363%
75,87.37985987788157%,87.27987764993313%,87.52066344912363%
76,87.2439251738386%,87.14598683018063%,87.52066344912363%
77,87.41180925695316%,87.33226368259707%,87.52066344912363%
78,87.47406809559183%,87.35583477085453%,87.52066344912363%
79,87.38310689184533%,87.28748762850263%,87.52066344912363%
80,87.35673782029465%,87.26611217215887%,87.52066344912363%
81,87.50245911904143%,87.41164483966594%,87.52066344912363%
82,87.50238867959098%,87.42047439777096%,87.52066344912363%
83,87.39616506702171%,87.30713151775207%,87.52066344912363%
84,87.40101556032614%,87.32046817203651%,87.52066344912363%
85,87.38689521695392%,87.30492572429924%,87.52066344912363%
86,87.39473858217613%,87.31796711720166%,87.52066344912363%
87,87.46286416686789%,87.39079682577417%,87.52066344912363%
88,87.44440251652614%,87.36320036969566%,87.52066344912363%
89,87.35377047775404%,87.26828404462839%,87.52066344912363%
90,87.38637076586949%,87.30207828377273%,87.52066344912363%
91,87.38786068513707%,87.291340421804%,87.52066344912363%
92,87.21185610241162%,87.13069336087467%,87.52066344912363%
93,87.45203800882862%,87.37354902832807%,87.52066344912363%
94,87.3069750565076%,87.23129785337395%,87.52066344912363%
95,87.33578390253054%,87.27480715510463%,87.52066344912363%
96,87.4074012949811%,87.33824734543269%,87.52066344912363%
97,87.25845187313573%,87.18018086705106%,87.52066344912363%
98,87.34571548974233%,87.2604903371054%,87.52066344912363%
99,87.39110230170654%,87.31413438934639%,87.52066344912363%
100,87.40666517569589%,87.32171871563598%,87.52066344912363%
