Epoch,Training (%),Testing (%),Best (%)
1,85.03807801045016%,85.04062392126137%,85.04062392126137%
2,84.9308781426652%,84.92240627263628%,85.04062392126137%
3,84.9953963624789%,84.94319084452462%,85.04062392126137%
4,86.75515076159226%,86.70033343472865%,86.70033343472865%
5,86.3495864219843%,86.322603368105%,86.70033343472865%
6,87.02847351368057%,87.02078948182206%,87.02078948182206%
7,87.72999892000394%,87.7131940676637%,87.7131940676637%
8,88.8041336094989%,88.79271898021595%,88.79271898021595%
9,88.05625825563358%,88.02769766173788%,88.79271898021595%
10,89.92368743455694%,89.88547462104904%,89.88547462104904%
11,90.94405918146956%,90.91676873496256%,90.91676873496256%
12,91.09327104219334%,91.07381239466842%,91.07381239466842%
13,90.18181734487699%,90.17261030307374%,91.07381239466842%
14,90.60890907825815%,90.5866894551178%,91.07381239466842%
15,91.01476732338504%,90.98834146919492%,91.07381239466842%
16,90.26159192763555%,90.24284480864418%,91.07381239466842%
17,90.73359081541287%,90.70260550723881%,91.07381239466842%
18,90.18852814023481%,90.17778957384819%,91.07381239466842%
19,89.19880840075301%,89.18189125425648%,91.07381239466842%
20,89.71393504657136%,89.7055512643073%,91.07381239466842%
21,90.16657700706558%,90.1464886843033%,91.07381239466842%
22,89.7855964109777%,89.78445406676954%,91.07381239466842%
23,89.62420276354538%,89.6011254352962%,91.07381239466842%
24,89.54120169962482%,89.54235904130843%,91.07381239466842%
25,91.20896515502321%,91.18405109648452%,91.18405109648452%
26,88.39120102792518%,88.36952012342624%,91.18405109648452%
27,88.90589544236201%,88.89707728816174%,91.18405109648452%
28,90.15779538935708%,90.13442819145003%,91.18405109648452%
29,89.4256097774236%,89.45679150296777%,91.18405109648452%
30,89.5027265259205%,89.48530176305024%,91.18405109648452%
31,89.99556118703174%,89.98280384722025%,91.18405109648452%
32,90.07374565650062%,90.04292824508167%,91.18405109648452%
33,89.26388956820504%,89.24011440403498%,91.18405109648452%
34,89.62420025233465%,89.60280719646208%,91.18405109648452%
35,88.77839097218501%,88.75575349689512%,91.18405109648452%
36,89.12278456097381%,89.0839166369043%,91.18405109648452%
37,90.09077792871282%,90.04497508886512%,91.18405109648452%
38,89.2036122221081%,89.19382772304925%,91.18405109648452%
39,88.92864515050786%,88.91831776308354%,91.18405109648452%
40,89.66738595373468%,89.6453585595623%,91.18405109648452%
41,89.487403254862%,89.50416321679346%,91.18405109648452%
42,89.86558968479471%,89.85067980063957%,91.18405109648452%
43,89.77640376398998%,89.77221216612352%,91.18405109648452%
44,89.18817425097065%,89.17057546500652%,91.18405109648452%
45,88.72608828936802%,88.7134124617737%,91.18405109648452%
46,89.39145507888036%,89.38092227993153%,91.18405109648452%
47,88.15061307455883%,88.15597225569033%,91.18405109648452%
48,89.50430539079295%,89.50491210009389%,91.18405109648452%
49,88.94179713890242%,88.9338643006608%,91.18405109648452%
50,88.5689377789973%,88.55434365881494%,91.18405109648452%
51,88.32532215000228%,88.31086842089054%,91.18405109648452%
52,89.38946217766689%,89.38194042234375%,91.18405109648452%
53,88.98404711722122%,88.9783853971913%,91.18405109648452%
54,88.78751230281131%,88.78397280710105%,91.18405109648452%
55,88.86087491495446%,88.85868850623338%,91.18405109648452%
56,89.26683577327715%,89.25620311718245%,91.18405109648452%
57,88.64091017819482%,88.63360432602572%,91.18405109648452%
58,88.71235772241192%,88.70813224679732%,91.18405109648452%
59,87.85497862518119%,87.85428635625499%,91.18405109648452%
60,88.96305908731657%,88.95401004168419%,91.18405109648452%
61,89.40458683099882%,89.38445513171334%,91.18405109648452%
62,86.91795711238967%,86.24274382445253%,91.18405109648452%
63,88.2069312997936%,88.20368097085245%,91.18405109648452%
64,88.31057826829242%,88.29633997183504%,91.18405109648452%
65,88.96969215481269%,88.96434325507008%,91.18405109648452%
66,88.87068033828126%,88.87267830981233%,91.18405109648452%
67,88.38063411955075%,88.37771271283509%,91.18405109648452%
68,88.32114508924172%,88.30786279802348%,91.18405109648452%
69,88.97870032473193%,88.97535587914156%,91.18405109648452%
70,89.33971978678095%,89.31308719725041%,91.18405109648452%
71,88.77652525077299%,88.77315232017644%,91.18405109648452%
72,88.96383206734346%,88.95496421244793%,91.18405109648452%
73,89.62184693743573%,89.59715473795626%,91.18405109648452%
74,88.87358357847022%,88.86762014330688%,91.18405109648452%
75,88.56495779124933%,88.55831316696195%,91.18405109648452%
76,88.65521199130552%,88.65744750848023%,91.18405109648452%
77,87.90923002487706%,87.91738224499362%,91.18405109648452%
78,88.84180302024173%,88.83771473125135%,91.18405109648452%
79,89.96844329054193%,89.95549407706152%,91.18405109648452%
80,89.41707289176719%,89.40155314652675%,91.18405109648452%
81,88.23395274573105%,88.22062573793558%,91.18405109648452%
82,88.6950357856779%,88.6784875524525%,91.18405109648452%
83,88.81921253863261%,88.81574882252868%,91.18405109648452%
84,88.57893796447205%,88.5821894970269%,91.18405109648452%
85,89.50313304432022%,89.4924423485217%,91.18405109648452%
86,89.35963838478462%,89.34865379360166%,91.18405109648452%
87,87.96364221989649%,87.9644985287759%,91.18405109648452%
88,88.97700203632849%,88.97357369648151%,91.18405109648452%
89,89.1961215147181%,89.18496748167641%,91.18405109648452%
90,88.55937314642506%,88.55634258527782%,91.18405109648452%
91,88.47905086377548%,88.4784675211552%,91.18405109648452%
92,88.7623182373001%,88.75465099580215%,91.18405109648452%
93,87.80920470243977%,87.7860647840246%,91.18405109648452%
94,88.48923330097185%,88.47538672971872%,91.18405109648452%
95,89.05864742445485%,89.04516023405775%,91.18405109648452%
96,88.44793125327216%,88.444573461976%,91.18405109648452%
97,88.71008396893279%,88.70237458924353%,91.18405109648452%
98,90.08312748308765%,90.06949954301282%,91.18405109648452%
99,88.23060409610258%,88.20711207495819%,91.18405109648452%
100,88.28384971035557%,88.15025981747992%,91.18405109648452%
