Epoch,Training (%),Testing (%),Best (%)
1,93.10384217942918%,93.09233867799593%,93.09233867799593%
2,94.95578258741351%,94.95712811848136%,94.95712811848136%
3,95.11574259566835%,95.0993177635668%,95.0993177635668%
4,95.71311032482097%,95.71409712022053%,95.71409712022053%
5,95.97725425965164%,95.96047864349792%,95.96047864349792%
6,95.35799534309778%,95.35004946003862%,95.96047864349792%
7,96.65616938573622%,96.64808491030306%,96.64808491030306%
8,95.93688924814064%,95.9180590613362%,96.64808491030306%
9,96.48451153459301%,96.48297493459349%,96.64808491030306%
10,96.48255986502832%,96.48504064948624%,96.64808491030306%
11,97.04859311299207%,97.03001334820904%,97.03001334820904%
12,96.45728415626645%,96.45226634998724%,97.03001334820904%
13,97.18949939908995%,97.19448105277974%,97.19448105277974%
14,96.82226932673179%,96.82039235261787%,97.19448105277974%
15,96.33959336288294%,96.3334481882919%,97.19448105277974%
16,96.96204748187802%,96.95893014728372%,97.19448105277974%
17,96.14357730017694%,96.13944183550966%,97.19448105277974%
18,97.08455815788743%,97.09131340042124%,97.19448105277974%
19,97.65014393332129%,97.65235820880633%,97.65235820880633%
20,96.05646608430688%,96.0539033837761%,97.65235820880633%
21,96.92952389535796%,96.94220778814494%,97.65235820880633%
22,97.48058127613933%,97.48504519405724%,97.65235820880633%
23,97.22068195014285%,97.2301772728871%,97.65235820880633%
24,96.35943735095799%,96.33891002077758%,97.65235820880633%
25,96.49652093774289%,96.49431602008295%,97.65235820880633%
26,96.89261359014496%,96.89249193896481%,97.65235820880633%
27,96.79922932033573%,96.79929540330157%,97.65235820880633%
28,96.55254392385913%,96.55154646876372%,97.65235820880633%
29,97.08691698439284%,97.08827564438027%,97.65235820880633%
30,96.88257576937303%,96.879077164448%,97.65235820880633%
31,97.44821454281359%,97.44607067427926%,97.65235820880633%
32,96.83498220941111%,96.83151603499296%,97.65235820880633%
33,97.05760091519618%,97.04874821061176%,97.65235820880633%
34,96.72758736397812%,96.74211921179645%,97.65235820880633%
35,95.84742705174745%,95.87709433304634%,97.65235820880633%
36,97.31160071455149%,97.30778213666954%,97.65235820880633%
37,96.45751820491766%,96.44239898248684%,97.65235820880633%
38,97.3288758734212%,97.32871381992973%,97.65235820880633%
39,97.31873164460396%,97.30988838467417%,97.65235820880633%
40,97.27192424283172%,97.25793691911659%,97.65235820880633%
41,97.37460182105212%,97.36661031330325%,97.65235820880633%
42,97.69819738326316%,97.6918311079258%,97.6918311079258%
43,97.34215440891334%,97.34205297303913%,97.6918311079258%
44,96.77778737287886%,96.75883643816555%,97.6918311079258%
45,97.04199508788355%,97.04341136023541%,97.6918311079258%
46,97.16385401272389%,97.15726250994808%,97.6918311079258%
47,96.74347675451054%,96.7708845916316%,97.6918311079258%
48,97.42969209391048%,97.45151730537876%,97.6918311079258%
49,96.33316630752358%,96.32994860342892%,97.6918311079258%
50,97.19311070144438%,97.18755609465403%,97.6918311079258%
51,96.73309961958451%,96.74843032802055%,97.6918311079258%
52,96.55722494641925%,96.54806388649713%,97.6918311079258%
53,97.1970716756928%,97.203625880344%,97.6918311079258%
54,97.69626798934544%,97.68380850424515%,97.6918311079258%
55,96.55575887802614%,96.54633413899234%,97.6918311079258%
56,97.3812026045326%,97.37880971194531%,97.6918311079258%
57,97.60351687479508%,97.60972013333823%,97.6918311079258%
58,96.31572662040435%,96.31068877549205%,97.6918311079258%
59,97.57210857172139%,97.58666169648632%,97.6918311079258%
60,96.19215821414663%,96.20652864908891%,97.6918311079258%
61,97.35697944461099%,97.38704635747622%,97.6918311079258%
62,95.7430664476614%,95.71352803431562%,97.6918311079258%
63,97.65059993159846%,97.64121964526376%,97.6918311079258%
64,97.63908471549531%,97.6264114311899%,97.6918311079258%
65,97.58960731864208%,97.58204463161022%,97.6918311079258%
66,97.30050628287208%,97.26857664344634%,97.6918311079258%
67,97.78093323913787%,97.79369487927994%,97.79369487927994%
68,97.67094194588259%,97.66191600926861%,97.79369487927994%
69,97.3723784827105%,97.37788876318061%,97.79369487927994%
70,96.36010023180047%,96.33985295550515%,97.79369487927994%
71,96.61154131754476%,96.59823769238234%,97.79369487927994%
72,96.90468467159724%,96.91400757338151%,97.79369487927994%
73,96.53565154684266%,96.55930865740065%,97.79369487927994%
74,95.73842908929463%,95.71318742694802%,97.79369487927994%
75,97.69314799534017%,97.67206114962542%,97.79369487927994%
76,96.5552847092286%,96.52951058648217%,97.79369487927994%
77,96.17645682124025%,96.06639926645042%,97.79369487927994%
78,95.64815782242289%,95.64189185411878%,97.79369487927994%
79,97.32674504933024%,97.32672045681198%,97.79369487927994%
80,96.91408675033607%,96.93214233729277%,97.79369487927994%
81,97.16854192921856%,97.1502186431485%,97.79369487927994%
82,97.4578688638162%,97.47075007864434%,97.79369487927994%
83,97.76650430578604%,97.76549396053005%,97.79369487927994%
84,97.15477764974291%,97.14299969860582%,97.79369487927994%
85,97.6118799944751%,97.60554905585668%,97.79369487927994%
86,95.87616624196423%,95.87625598221447%,97.79369487927994%
87,97.59716015029181%,97.58917433275849%,97.79369487927994%
88,97.48464880783197%,97.48152441385602%,97.79369487927994%
89,97.88696536547094%,97.86838735246137%,97.86838735246137%
90,96.91332869451539%,96.94321035308194%,97.86838735246137%
91,96.35196794832814%,96.40295064594534%,97.86838735246137%
92,95.85846251046581%,95.88598830717665%,97.86838735246137%
93,96.59457259154308%,96.59812486440413%,97.86838735246137%
94,96.80296491625944%,96.80320959433118%,97.86838735246137%
95,97.33506955512912%,97.3428374255898%,97.86838735246137%
96,97.08274783225416%,97.11364110132969%,97.86838735246137%
97,96.97970243838613%,96.98486819517382%,97.86838735246137%
98,97.29794701285114%,97.29578044858486%,97.86838735246137%
99,97.54213395788929%,97.58180797970574%,97.86838735246137%
100,97.21995268616382%,97.24215174141338%,97.86838735246137%
