Epoch,Training,Testing,Best
1,85.29645415732487,85.28528025640159,85.28528025640159
2,85.18523439070805,85.16654359805148,85.28528025640159
3,84.9941200281227,84.9729314399066,85.28528025640159
4,84.76399738244935,84.73844535397103,85.28528025640159
5,85.73694269874169,85.69327791856978,85.69327791856978
6,85.80391557477637,85.7793138091781,85.7793138091781
7,85.78004847721232,85.81262337721698,85.81262337721698
8,85.7660974223934,85.74511112095216,85.81262337721698
9,85.80506000089868,85.77951911329981,85.81262337721698
10,85.83284718634411,85.79060247291375,85.81262337721698
11,85.71612626148982,85.65912239164962,85.81262337721698
12,85.7658003729306,85.72587604199933,85.81262337721698
13,86.02257705610468,85.98871004324849,85.98871004324849
14,85.85116178076937,85.8170796393212,85.98871004324849
15,85.68654098625703,85.65391147487351,85.98871004324849
16,85.63699867438001,85.65799485084165,85.98871004324849
17,85.7581502941571,85.7416088256318,85.98871004324849
18,85.75554417328759,85.67933063224824,85.98871004324849
19,85.53821069292947,85.5206962634321,85.98871004324849
20,85.71442052602245,85.69463416034418,85.98871004324849
21,85.58425226599945,85.5611437043761,85.98871004324849
22,85.78620297187788,85.78556056834847,85.98871004324849
23,85.79424081710948,85.77761291120906,85.98871004324849
24,85.60134191457405,85.57690540322238,85.98871004324849
25,83.90180193951203,83.71097299512856,85.98871004324849
26,85.10114971037432,85.08722727106755,85.98871004324849
27,85.82041516105308,85.78662996798029,85.98871004324849
28,85.52946236255987,85.53906335093633,85.98871004324849
29,85.49243285542948,85.513303972225,85.98871004324849
30,85.85362844638004,85.839246219595,85.98871004324849
31,85.88320151319577,85.86793126841063,85.98871004324849
32,85.57476866655274,85.55356961408978,85.98871004324849
33,85.5799832937069,85.55493370535332,85.98871004324849
34,85.75033404087498,85.72074783169961,85.98871004324849
35,85.69819140748902,85.67381482782328,85.98871004324849
36,85.48080660894736,85.45950393563021,85.98871004324849
37,85.45893943312987,85.43444743356893,85.98871004324849
38,85.62344882236643,85.60246303965936,85.98871004324849
39,85.69410361249967,85.6658038067174,85.98871004324849
40,85.50262872061356,85.48182713125267,85.98871004324849
41,85.66800774339809,85.65350295376922,85.98871004324849
42,85.72934198071285,85.70344182337702,85.98871004324849
43,85.76444737154468,85.7367022799004,85.98871004324849
44,85.88319588112309,85.85984019441291,85.98871004324849
45,85.98037234717084,85.94100126017246,85.98871004324849
46,85.73742633559777,85.70692757676494,85.98871004324849
47,85.53447968564404,85.51053150018838,85.98871004324849
48,85.69514153812304,85.6653761029584,85.98871004324849
49,85.98025467677637,85.94623260206144,85.98871004324849
50,85.83107107158973,85.79352688772741,85.98871004324849
51,85.53757165544702,85.51245776378022,85.98871004324849
52,85.89089967726393,85.85697421401696,85.98871004324849
53,85.82762217910064,85.79554271858822,85.98871004324849
54,85.90552025623097,85.88208135855943,85.98871004324849
55,85.77017147392256,85.7438472945729,85.98871004324849
56,86.0268729970552,85.99646806649797,85.99646806649797
57,85.9875109999053,85.94541293622072,85.99646806649797
58,85.83603080526217,85.80735844134965,85.99646806649797
59,86.04511354536785,86.00497811840528,86.00497811840528
60,85.73988626723958,85.71041079226909,86.00497811840528
61,85.87485309120491,85.83882151128262,86.00497811840528
62,85.9270360580109,85.8953278721029,86.00497811840528
63,85.73241474527342,85.7069924982255,86.00497811840528
64,85.87211498794181,85.83566577112602,86.00497811840528
65,85.88250100510044,85.8481528786447,86.00497811840528
66,86.13384978160484,86.09499905786173,86.09499905786173
67,85.93822652845307,85.90421911704942,86.09499905786173
68,86.04235809584185,86.00361544029272,86.09499905786173
69,85.84900103466994,85.82099713332572,86.09499905786173
70,85.85902351742646,85.85202765214879,86.09499905786173
71,85.87177638332022,85.84131052406894,86.09499905786173
72,86.11799797822013,86.0688592771697,86.09499905786173
73,85.98849303319527,85.94955704674705,86.09499905786173
74,85.66391714196875,85.63770293347022,86.09499905786173
75,85.91713348008915,85.88462745847198,86.09499905786173
76,85.69707511275485,85.67279900442809,86.09499905786173
77,85.64456155828609,85.62119369968686,86.09499905786173
78,85.86890774432791,85.83812259739821,86.09499905786173
79,85.85927673899604,85.82584009073064,86.09499905786173
80,85.96650314978731,85.89554648161759,86.09499905786173
81,85.97257573410718,85.91249497062657,86.09499905786173
82,85.94753775755538,85.90655952198549,86.09499905786173
83,85.97512190781755,85.94080163939614,86.09499905786173
84,85.76838687991946,85.73018050991233,86.09499905786173
85,86.04690182963888,86.02858055169655,86.09499905786173
86,85.79045410935058,85.77291614832903,86.09499905786173
87,85.76016428595258,85.75755892990351,86.09499905786173
88,85.70057213559224,85.66989821192077,86.09499905786173
89,85.97731200858428,85.96812770296593,86.09499905786173
90,86.00090828246101,85.98937264430594,86.09499905786173
91,85.92829869214808,85.98899214265765,86.09499905786173
92,86.07638454149513,86.05555476375623,86.09499905786173
93,85.95244795744716,85.91305533808564,86.09499905786173
94,86.0363445365507,86.0075584936831,86.09499905786173
95,85.94238844571484,85.8997718322934,86.09499905786173
96,86.1430934243895,86.09126038950751,86.09499905786173
97,85.97178925229831,85.93144823449455,86.09499905786173
98,85.8231969957225,85.79411593174889,86.09499905786173
99,85.95774788434281,85.91867583863547,86.09499905786173
100,85.84875368880702,85.81280248722136,86.09499905786173
