Mode,Success Rate,Time,Generations,Distance,Angle
Bio IK,92.66499999999999%,2.5600708875174227 s,8.99283,0.01429036098761958 m,0.0005502978147511921 °
Exhaustive Fusion IK,93.196%,2.4248709477102293 s,13.75284,0.011148946800207175 m,0.00045932866609347373 °
Fusion IK,92.947%,2.4947991472958018 s,8.7128,0.012074445329999985 m,0.0004992908326102364 °
Greedy Fusion IK,93.196%,2.493399701136334 s,8.74,0.011148946800207175 m,0.00045932866609347373 °
