Mode,Success Rate,Time,Generations,Distance,Angle
Bio IK,95.71600000000001%,2.559723023771386 s,11.79566,0.007101428889509817 m,0.0002822430903828199 °
Exhaustive Fusion IK,95.978%,2.419425694822807 s,18.43048,0.007125545834766302 m,0.00029158496529089974 °
Fusion IK,95.855%,2.4953817392541056 s,11.41259,0.006523638255741875 m,0.00027111724265379975 °
Greedy Fusion IK,95.978%,2.494717336597991 s,11.35205,0.007125545834766302 m,0.00029158496529089974 °
