Mode,Success Rate,Time,Generations,Distance,Angle
Bio IK,29.384%,2.6415780299414595 s,1.0,0.024816659538158842 m,0.001215727821716004 °
Fusion IK,31.456%,2.528772889207134 s,1.0,0.01902381348114518 m,0.0009458850217816176 °
