Mode,Success Rate,Time,Distance,Angle,Milliseconds
Bio IK,29.662%,2.618530782130148 s,0.024625148500716742 m,0.0012334014674400303 °,0.0825
Fusion IK 0,31.415%,2.522169828172059 s,0.018844185411532675 m,0.0009600244462987311 °,1.77243
Fusion IK 1,30.916%,2.5423495119953543 s,0.019662151059132677 m,0.0009937337075415172 °,1.72604
