Mode,Success Rate,Time,Distance,Angle,Milliseconds
Network 0,0.0%,-,0.572672862204476 m,0.2793589160097912 °,1.27348
Network 1,0.0%,-,0.6862036249847828 m,0.28108555216082176 °,1.00826
