Mode,Success Rate,Time,Distance,Angle
Bio IK,86.71679197994987%,2.1055689621716738 s,0.009848289467735846 m,0.00048067209622641504 °
Fusion IK 0,86.52882205513784%,2.0936801120218034 s,0.010491309038837207 m,0.00034872371674418603 °
