Mode,Success Rate,Time,Distance,Angle
Bio IK,81.89223057644111%,2.1517968635091185 s,0.012168761357301034 m,0.00046593264498269893 °
Fusion IK 0,81.14035087719299%,2.1552757881322884 s,0.01002028766976744 m,0.0003431797710963455 °
