I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.6269627,0.5903279,0.6843622,0.6677833,0.04391595,0.9685779,0.2959768,0.3719944,0.8269514,0.4577939,0.7977535,0.566184,0.6779784,0.2557998,0.1779254,0.8411629,0.4988201,0.8001701,0.7712299,0.6910835,0.5117443,0.4856731,0.3771544,0.996496,0.9437653,0.7244182,0.6560324,0.5832449,0.7050686,0.2423254,0.3337006,0.5246705,0.6323782,0.3874878,0.6236749,0.4812087,0.8568182,0.7924334,0.5276974,0.2447253,0.5946447,0.585411,0.8292373,0.528308,0.8118594,0.6535805
0.6560324,0.5832449,0.7050686,0.2423254,0.3337006,0.5246705,0.6323782,0.3874878,0.6236749,0.4812087,0.8568182,0.7924334,0.5276974,0.2447253,0.5946447,0.585411,0.8292373,0.528308,0.8118594,0.6535805,0.5214937,0.5782384,0.4326309,0.1652407,0.4663508,0.7145274,0.7018324,0.1909219,0.9180544,0.3039339,0.3800697,0.1272422,0.9615114,0.2362268,0.4805409,0.5657691,0.8604077,0.8773956,0.6411402,0.3893349,0.2300691,0.8225548,0.452068,0.9469829,0.8095328,0.341635
0.7018324,0.1909219,0.9180544,0.3039339,0.3800697,0.1272422,0.9615114,0.2362268,0.4805409,0.5657691,0.8604077,0.8773956,0.6411402,0.3893349,0.2300691,0.8225548,0.452068,0.9469829,0.8095328,0.341635,0.4785446,0.5271645,0.534695,0.06260803,0.893226,0.02124816,0.7475406,0.5758067,0.9169347,0.3782826,0.4263574,0.2436132,0.7998368,0.5866979,0.4188961,0.1741315,0.9953398,0.6307976,0.4948061,0.5131778,0.7196223,0.7528677,0.2397508,0.8944703,0.7375377,0.4650173
0.7475406,0.5758067,0.9169347,0.3782826,0.4263574,0.2436132,0.7998368,0.5866979,0.4188961,0.1741315,0.9953398,0.6307976,0.4948061,0.5131778,0.7196223,0.7528677,0.2397508,0.8944703,0.7375377,0.4650173,0.5085664,0.541885,0.4183089,0.1305193,0.1496344,0.5325623,0.3672429,0.3088397,0.9798074,0.1897122,0.8739988,0.6135445,0.4959804,0.4062288,0.3761671,0.01204667,0.73423,0.2854204,0.9325082,0.5963226,0.9621673,0.3441842,0.6672124,0.5086928,0.5753484,0.3254556
0.3672429,0.3088397,0.9798074,0.1897122,0.8739988,0.6135445,0.4959804,0.4062288,0.3761671,0.01204667,0.73423,0.2854204,0.9325082,0.5963226,0.9621673,0.3441842,0.6672124,0.5086928,0.5753484,0.3254556,0.5663431,0.6024671,0.4166625,0.8058345,0.07777343,0.07102301,0.6172225,0.4151451,0.5359402,0.3885127,0.7182298,0.598966,0.4969071,0.48614,0.5865425,0.244938,0.9417081,0.5745319,0.9402484,0.7705795,0.7498394,0.5166769,0.5094473,0.2178932,0.5094857,0.2001906
0.6172225,0.4151451,0.5359402,0.3885127,0.7182298,0.598966,0.4969071,0.48614,0.5865425,0.244938,0.9417081,0.5745319,0.9402484,0.7705795,0.7498394,0.5166769,0.5094473,0.2178932,0.5094857,0.2001906,0.4977698,0.5095372,0.4731017,0.9425476,0.3848751,0.6942806,0.7451571,0.211017,0.5333266,0.1325423,0.289091,0.4128001,0.6309956,0.3043055,0.3102717,0.2609446,0.8406508,0.1978309,0.5249169,0.3974708,0.3737831,0.4705371,0.5833489,0.4209599,0.5565612,0.4399035
0.7451571,0.211017,0.5333266,0.1325423,0.289091,0.4128001,0.6309956,0.3043055,0.3102717,0.2609446,0.8406508,0.1978309,0.5249169,0.3974708,0.3737831,0.4705371,0.5833489,0.4209599,0.5565612,0.4399035,0.4596374,0.5068688,0.5300434,0.9545575,0.9883056,0.6508557,0.7039219,0.5628398,0.5735983,0.4657293,0.4568519,0.7416431,0.3328073,0.5467321,0.2802825,0.659041,0.5588541,0.4212936,0.4332583,0.6339977,0.5576099,0.6877789,0.3629593,0.6386199,0.3111469,0.3754238
0.7039219,0.5628398,0.5735983,0.4657293,0.4568519,0.7416431,0.3328073,0.5467321,0.2802825,0.659041,0.5588541,0.4212936,0.4332583,0.6339977,0.5576099,0.6877789,0.3629593,0.6386199,0.3111469,0.3754238,0.5647668,0.5782639,0.5303975,0.05184548,0.6878495,0.9754201,0.6761154,0.2806585,0.4358734,0.2870017,0.6259114,0.5479091,0.6638511,0.7013841,0.4502979,0.7283323,0.7414185,0.3159869,0.3379832,0.7512956,0.8002721,0.4174236,0.4271459,0.4572259,0.3792754,0.05394407
0.6761154,0.2806585,0.4358734,0.2870017,0.6259114,0.5479091,0.6638511,0.7013841,0.4502979,0.7283323,0.7414185,0.3159869,0.3379832,0.7512956,0.8002721,0.4174236,0.4271459,0.4572259,0.3792754,0.05394407,0.4724633,0.4680127,0.5415484,0.9984302,0.06809347,0.8427739,0.4976025,0.5359502,0.1704924,0.3460055,0.3834297,0.1685347,0.4087677,0.6229236,0.1086868,0.5346852,0.3492632,0.5052482,0.6518425,0.4966029,0.4583162,0.711442,0.3100497,0.7594832,0.5321152,0.4105076
0.4976025,0.5359502,0.1704924,0.3460055,0.3834297,0.1685347,0.4087677,0.6229236,0.1086868,0.5346852,0.3492632,0.5052482,0.6518425,0.4966029,0.4583162,0.711442,0.3100497,0.7594832,0.5321152,0.4105076,0.4648724,0.5677987,0.4428824,0.8933159,0.06437285,0.5435026,0.9184519,0.1898988,0.07748667,0.5755879,0.6505805,0.1811569,0.8185664,0.5218338,0.347453,0.8481637,0.3235571,0.2169518,0.2980134,0.6724306,0.2955082,0.6794308,0.256709,0.4688469,0.5171695,0.3688524
