Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
71,0.000412185,0.000436181,0.002881806,0.000404879,0.000753728,0.000608935
72,0.000414327,0.00043585,0.002910428,0.000404095,0.000757966,0.000603
73,0.000410668,0.00043028,0.002931741,0.000403814,0.000761129,0.000604058
74,0.000404839,0.000424771,0.002912408,0.000402862,0.000761108,0.000600768
75,0.000406027,0.000420619,0.002897612,0.000399527,0.000767571,0.000602572
76,0.000407296,0.000418991,0.002930795,0.000393736,0.000768354,0.000604042
77,0.000405412,0.00042012,0.002926313,0.000393712,0.000773832,0.000602813
78,0.000405194,0.000418458,0.002526873,0.000388457,0.000781797,0.000482455
79,0.000400764,0.000413306,0.00254129,0.000386036,0.000783976,0.000484177
80,0.000400174,0.00040836,0.002538798,0.000383999,0.000783835,0.00048215
81,0.000393233,0.000411737,0.002563007,0.000382317,0.000436113,0.000475703
82,0.000389992,0.000411716,0.002466538,0.000382051,0.000436923,0.000478902
83,0.000388844,0.000408446,0.002487649,0.000378637,0.000425834,0.000480573
84,0.000388533,0.000409762,0.002493653,0.000376312,0.000421453,0.000479238
85,0.000387276,0.000407859,0.002508659,0.000375854,0.000422166,0.000478891
86,0.000388401,0.000406213,0.002513857,0.000372951,0.000423687,0.000403548
87,0.000385582,0.000402202,0.002534964,0.000370933,0.000423716,0.000401192
88,0.000388386,0.000401358,0.002410001,0.000366718,0.000421717,0.000400763
89,0.000385849,0.000399367,0.002405867,0.000366171,0.000421257,0.000399932
90,0.000390028,0.000394785,0.002423104,0.000364702,0.000421802,0.000397121
91,0.000391572,0.000387029,0.001624775,0.0003652,0.000416648,0.000399035
92,0.000393012,0.000387772,0.001348751,0.000362324,0.00041002,0.000399607
93,0.000391964,0.00038597,0.001352435,0.000362166,0.000412331,0.000398571
94,0.000389462,0.000384113,0.001348983,0.000361597,0.000410822,0.000398471
95,0.000387348,0.000385313,0.001345681,0.000360447,0.000413248,0.000400549
96,0.000387091,0.000387868,0.00134654,0.000355401,0.00041525,0.000400025
97,0.00038513,0.000384366,0.001133874,0.000354906,0.000415692,0.000397594
98,0.000386034,0.000382636,0.001135991,0.000355882,0.000415404,0.00039842
99,0.000387481,0.000381339,0.001132588,0.000354441,0.000415991,0.00039942
100,0.000388385,0.000376044,0.001133879,0.000351156,0.000414513,0.000392196
101,0.000387582,0.000368932,0.001131894,0.000350656,0.000414923,0.000378363
102,0.000389386,0.000367381,0.001131137,0.000351487,0.000417003,0.000381523
103,0.000390216,0.000357713,0.001140651,0.000351036,0.000403477,0.000380019
104,0.000391486,0.000354855,0.001046559,0.000349966,0.000402337,0.000380582
105,0.000390933,0.000347539,0.001047859,0.000348516,0.000403355,0.000379289
106,0.000391383,0.000348653,0.001050378,0.000345071,0.000402318,0.00038008
107,0.000389313,0.000348252,0.001050414,0.000342272,0.000395,0.000380739
108,0.00038907,0.000344434,0.001051138,0.000339906,0.000391691,0.000383467
109,0.000389374,0.00034301,0.001052285,0.000343191,0.000392837,0.000384994
110,0.000388982,0.000344447,0.001050964,0.0003441,0.000394741,0.000378583
111,0.000383164,0.000345608,0.001057968,0.000342263,0.000393139,0.000373545
112,0.00038582,0.000344519,0.001060557,0.000339527,0.000393217,0.000365489
113,0.000386361,0.000346485,0.001062961,0.000338383,0.000393427,0.000367062
114,0.000382883,0.000346242,0.000986991,0.000338846,0.000389374,0.000367854
115,0.000381165,0.000347181,0.000983678,0.000334803,0.000387282,0.000368938
116,0.000382298,0.000345198,0.000954319,0.000334555,0.000384055,0.000366797
117,0.000382508,0.000344635,0.000954437,0.000333431,0.000383418,0.000367156
118,0.000385656,0.000343967,0.000957094,0.000331786,0.000381999,0.000367863
119,0.000385894,0.00034417,0.000963519,0.000331108,0.000379839,0.0003673
120,0.000388069,0.000343879,0.000963478,0.000328832,0.000374964,0.000374021
121,0.000386616,0.000343376,0.000963072,0.000328494,0.000371343,0.000375065
122,0.000389011,0.000343955,0.000957836,0.000327537,0.000371424,0.000375836
123,0.00038863,0.00034458,0.000963213,0.000328403,0.000361813,0.00037787
124,0.000390906,0.000344248,0.000962241,0.000328583,0.000363325,0.00037798
125,0.000387332,0.000340827,0.000962368,0.000329406,0.000364916,0.000377926
126,0.000392893,0.000340944,0.000963622,0.000328815,0.00036554,0.000375482
127,0.000382628,0.000340011,0.000969896,0.000322794,0.000356777,0.000377436
128,0.000381674,0.000341491,0.000973769,0.000319984,0.000357063,0.000378529
129,0.000376079,0.000342137,0.000973994,0.000319589,0.000358194,0.000377063
130,0.000369147,0.00034175,0.000936627,0.00031848,0.000356593,0.000376922
131,0.000368558,0.000345501,0.000941654,0.000313573,0.000355843,0.000367574
132,0.000366817,0.00034704,0.000939509,0.000315252,0.000358147,0.000367574
133,0.000367863,0.000343816,0.000937546,0.000316242,0.000355096,0.000368378
134,0.000361575,0.000343632,0.000938298,0.000316319,0.000353589,0.000369917
135,0.00035858,0.000340335,0.0009435,0.000317929,0.000354219,0.000369299
136,0.000360992,0.000337764,0.000942779,0.000319484,0.000354082,0.000371253
