Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
68,95.62%,94.17999999999999%,90.84%,95.92%,94.62%,95.56%,,
69,95.67999999999999%,94.32000000000001%,91.06%,96.0%,94.64%,95.6%,,
70,95.72%,94.42%,91.14%,96.02000000000001%,94.69999999999999%,95.64%,,
71,95.74000000000001%,94.54%,91.22%,96.08%,94.72%,95.72%,,
72,95.8%,94.62%,91.3%,96.08%,94.78%,95.78%,,
73,95.84%,94.66%,91.34%,96.16%,94.84%,95.84%,,
74,95.84%,94.69999999999999%,91.52%,96.2%,94.88%,95.86%,,
75,95.84%,94.78%,91.56%,96.22%,94.96%,95.92%,,
76,95.86%,94.78%,91.67999999999999%,96.32%,94.98%,95.98%,,
77,95.89999999999999%,94.88%,91.78%,96.34%,95.04%,96.02000000000001%,,
78,95.98%,95.0%,91.82000000000001%,96.38%,95.1%,96.06%,,
79,95.98%,95.06%,91.88%,96.44%,95.12%,96.17999999999999%,,
80,96.06%,95.1%,91.97999999999999%,96.46000000000001%,95.14%,96.17999999999999%,,
81,96.1%,95.14%,92.04%,96.5%,95.17999999999999%,96.24000000000001%,,
82,96.14%,95.17999999999999%,92.12%,96.58%,95.24000000000001%,96.32%,,
83,96.14%,95.22%,92.14%,96.61999999999999%,95.26%,96.34%,,
84,96.24000000000001%,95.26%,92.24%,96.64%,95.32000000000001%,96.39999999999999%,,
85,96.26%,95.3%,92.34%,96.67999999999999%,95.38%,96.39999999999999%,,
86,96.3%,95.42%,92.42%,96.72%,95.39999999999999%,96.44%,,
87,96.32%,95.42%,92.54%,96.76%,95.48%,96.48%,,
88,96.36%,95.46%,92.56%,96.78%,95.5%,96.5%,,
89,96.36%,95.48%,92.62%,96.82%,95.52000000000001%,96.54%,,
90,96.39999999999999%,95.52000000000001%,92.72%,96.86%,95.54%,96.58%,,
91,96.46000000000001%,95.54%,92.78%,96.92%,95.64%,96.58%,,
92,96.54%,95.6%,92.80000000000001%,96.92%,95.67999999999999%,96.66%,,
93,96.56%,95.62%,92.82000000000001%,96.94%,95.74000000000001%,96.72%,,
94,96.56%,95.64%,92.84%,96.96000000000001%,95.8%,96.78%,,
95,96.6%,95.7%,92.92%,96.98%,95.82000000000001%,96.78%,,
96,96.61999999999999%,95.72%,93.06%,96.98%,95.88%,96.78%,,
97,96.67999999999999%,95.74000000000001%,93.16%,97.02%,95.89999999999999%,96.78%,,
98,96.67999999999999%,95.8%,93.17999999999999%,97.08%,95.96000000000001%,96.8%,,
99,96.67999999999999%,95.84%,93.22%,97.08%,96.02000000000001%,96.84%,,
100,96.72%,95.86%,93.36%,97.11999999999999%,96.04%,96.86%,,
101,96.76%,95.86%,93.44%,97.16%,96.06%,96.92%,,
102,96.76%,95.88%,93.46%,97.18%,96.08%,96.94%,,
103,96.8%,95.92%,93.46%,97.2%,96.08%,97.04%,,
104,96.8%,95.94%,93.47999999999999%,97.2%,96.1%,97.1%,,
105,96.84%,95.96000000000001%,93.58%,97.2%,96.14%,97.11999999999999%,,
106,96.88%,96.0%,93.67999999999999%,97.24000000000001%,96.17999999999999%,97.14%,,
107,96.89999999999999%,96.0%,93.74%,97.28%,96.24000000000001%,97.16%,,
108,96.92%,96.06%,93.78%,97.3%,96.32%,97.16%,,
109,96.94%,96.12%,93.82000000000001%,97.34%,96.32%,97.16%,,
110,96.94%,96.16%,93.88%,97.34%,96.36%,97.2%,,
111,96.94%,96.17999999999999%,93.94%,97.36%,96.36%,97.2%,,
112,97.0%,96.22%,93.96%,97.36%,96.41999999999999%,97.26%,,
113,97.02%,96.22%,94.02000000000001%,97.38%,96.46000000000001%,97.28%,,
114,97.08%,96.28%,94.08%,97.42%,96.48%,97.28%,,
115,97.1%,96.28%,94.19999999999999%,97.44%,96.54%,97.28%,,
116,97.11999999999999%,96.36%,94.26%,97.46000000000001%,96.54%,97.3%,,
117,97.11999999999999%,96.38%,94.3%,97.48%,96.58%,97.3%,,
118,97.11999999999999%,96.39999999999999%,94.36%,97.52%,96.64%,97.32%,,
119,97.14%,96.44%,94.36%,97.56%,96.66%,97.32%,,
120,97.14%,96.48%,94.38%,97.6%,96.67999999999999%,97.34%,,
121,97.16%,96.52%,94.39999999999999%,97.61999999999999%,96.72%,97.34%,,
122,97.2%,96.58%,94.46%,97.61999999999999%,96.74000000000001%,97.39999999999999%,,
123,97.24000000000001%,96.6%,94.46%,97.64%,96.82%,97.46000000000001%,,
124,97.28%,96.61999999999999%,94.46%,97.64%,96.88%,97.52%,,
125,97.28%,96.67999999999999%,94.52000000000001%,97.64%,96.89999999999999%,97.52%,,
126,97.3%,96.67999999999999%,94.62%,97.68%,96.89999999999999%,97.54%,,
127,97.34%,96.72%,94.67999999999999%,97.7%,96.92%,97.56%,,
128,97.34%,96.72%,94.67999999999999%,97.7%,96.94%,97.56%,,
129,97.38%,96.74000000000001%,94.69999999999999%,97.72%,97.0%,97.56%,,
130,97.38%,96.74000000000001%,94.74000000000001%,97.72%,97.02%,97.56%,,
131,97.39999999999999%,96.74000000000001%,94.74000000000001%,97.72%,97.06%,97.58%,,
132,97.44%,96.8%,94.76%,97.78%,97.08%,97.58%,,
133,97.48%,96.82%,94.82000000000001%,97.78%,97.1%,97.58%,,
134,97.48%,96.86%,94.82000000000001%,97.8%,97.11999999999999%,97.6%,,
135,97.5%,96.88%,94.88%,97.8%,97.18%,97.6%,,
136,97.5%,96.89999999999999%,94.88%,97.82%,97.24000000000001%,97.64%,,
137,97.54%,96.96000000000001%,94.88%,97.82%,97.24000000000001%,97.7%,,
138,97.56%,96.96000000000001%,94.92%,97.84%,97.26%,97.7%,,
139,97.56%,96.98%,94.96%,97.86%,97.26%,97.76%,,
140,97.6%,96.98%,95.02000000000001%,97.92%,97.26%,97.76%,,
141,97.6%,97.02%,95.06%,97.94%,97.26%,97.76%,,
142,97.61999999999999%,97.06%,95.08%,97.96000000000001%,97.34%,97.76%,,
143,97.66%,97.16%,95.1%,97.96000000000001%,97.34%,97.76%,,
144,97.7%,97.18%,95.14%,97.96000000000001%,97.34%,97.76%,,
145,97.78%,97.18%,95.17999999999999%,97.96000000000001%,97.42%,97.8%,,
146,97.82%,97.18%,95.22%,98.0%,97.44%,97.82%,,
147,97.82%,97.2%,95.26%,98.0%,97.44%,97.82%,,
148,97.86%,97.24000000000001%,95.28%,98.0%,97.46000000000001%,97.82%,,
149,97.92%,97.24000000000001%,95.32000000000001%,98.0%,97.46000000000001%,97.82%,,
150,97.94%,97.26%,95.32000000000001%,98.0%,97.46000000000001%,97.84%,,
151,97.96000000000001%,97.26%,95.44%,98.0%,97.48%,97.84%,,
