Network,ABB IRB 7600 Standard,ABB IRB 7600 Minimal
Parameters,78,42
Joint 1 Accuracy,83.55617575896905%,85.4904577726702%
Joint 2 Accuracy,80.62890768555226%,81.11035169712851%
Joint 3 Accuracy,83.43091077848803%,85.74151159836912%
Joint 4 Accuracy,87.27450527660548%,88.31061166226863%
Joint 5 Accuracy,74.30188728688987%,74.2640567272174%
Joint 6 Accuracy,87.30215290701017%,87.71598428487778%
Average Accuracy,82.74908994891913%,83.7721622904219%
